FID,YEAR_,DISTRICT,COSITE,ROADWAY,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,TruckAADT,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,DESC_FRM,DESC_TO,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
35,2025,5,702019,70220126,11000,S,F,F,W,2,935,0,0.323,9,0,99.9,8.5,524.0004,WICKHAM RD,I 95,70,Brevard,5,524.000397763839
36,2025,2,389105,38501000,1300,C,F,F,F,F,52,0,1.346,9.5,0,55.6,4,2177.1724,US-19/US-27/SR-20,US-221,38,Taylor,2,2177.17244046443
37,2025,3,460312,46000046,3600,C,F,F,F,F,392,0,1.956,9,0,51.9,10.9,3147.1403,CR-2315/STAR AVE,LAIRD POINT DR,46,Bay,3,3147.14032831782
38,2025,7,140025,14010000,23000,X,F,F,F,F,3496,9.868,11.342,9,0,55.7,15.2,2371.5586,N/A,SR-52,14,Pasco,7,2371.55858528015
39,2025,7,029028,02000033,2050,C,F,F,F,F,187,0,1.332,9,0,52.8,9.1,2136.9239,N PONCE DE LEON BLVD,W OAK PARK BLVD,02,Citrus,7,2136.92394576046
40,2025,5,777025,77000027,9500,F,F,F,F,1,143,0,0.757,9,0,53.3,1.5,1232.0722,DODD RD,TUSKAWILLA RD,77,Seminole,5,1232.0722287278
41,2025,5,700377,70070000,47500,F,F,F,F,F,3183,5.212,5.627,9,0,54.8,6.7,667.6576,SR-528,N/A,70,Brevard,5,667.657590705517
42,2025,7,142708,14140008,4500,E,F,F,W,F,252,0.119,0.219,8,0,99.9,5.6,160.242,N/A,I-75/SR-93 NB,14,Pasco,7,160.24196933162
43,2025,7,149070,14000111,3500,C,F,F,F,F,252,0,0.624,9,0,55.7,7.2,1005.1797,COLLIER PKWY,PARKWAY BLVD,14,Pasco,7,1005.17969658257
44,2025,7,140030,14050000,26500,C,F,F,F,A,1696,11.637,13.476,9,0,55.7,6.4,2958.5521,CR-52A/CLINTON AVE,US-98/US-301/SR-533,14,Pasco,7,2958.55206469927
45,2025,5,778100,77000244,5000,F,F,F,F,F,415,0,0.91,9,0,53.3,8.3,1461.9279,SR 436,SAND LAKE RD,77,Seminole,5,1461.92794260151
46,2025,2,399112,39590001,500,S,F,F,F,F,46,0,0.986,9.5,0,52.3,9.1,1583.6038,SW CR 18A,SW CR 231A,39,Union,2,1583.6038166051
47,2025,5,702085,70070034,3900,T,F,F,W,F,172,0,0.156,9,0,99.9,4.4,251.0885,SR-528,US-1 / SR-5,70,Brevard,5,251.088481879936
48,2025,7,149046,14000070,44000,V,F,F,F,F,3168,0,3.102,9,0,55.7,7.2,4986.1182,VILLA ENTRADA,DECUBELLIS RD,14,Pasco,7,4986.11818472243
49,2025,1,014259,01000078,21500,S,F,F,F,2,946,2.089,2.704,9,0,53.1,4.4,988.1399,SR 45/US 41,N/A,01,Charlotte,1,988.139895016236
50,2025,2,380014,38010000,5900,C,F,F,F,F,726,0.226,23.666,9.5,0,55.6,12.3,37741.5999,SR-51,N/A,38,Taylor,2,37741.599944228
51,2025,7,149096,14580001,9400,C,F,F,F,F,677,0,1.249,9,0,55.7,7.2,2008.6668,US-19/SR-55,CONGRESS ST,14,Pasco,7,2008.66684409937
52,2025,7,149048,14000215,2400,X,F,F,F,F,173,0,1.413,9,0,55.7,7.2,2274.2196,SR-54,EILAND BLVD,14,Pasco,7,2274.21961771964
53,2025,7,029018,02000024,3600,C,F,F,F,F,328,0,3.374,9,0,52.8,9.1,5444.8568,E GULF TO LAKE HWY,E NORVELL BRYANT HWY,02,Citrus,7,5444.85677563598
54,2025,2,719104,71000018,2400,F,F,F,F,F,31,0,2.579,9,0,52.7,1.3,4158.6765,SR-21,SR-224/KINGSLEY AVE,71,Clay,2,4158.67653089565
55,2025,7,140033,14120000,12700,C,F,F,F,F,1981,30.31,32.217,9,0,55.7,15.6,3068.5166,VFW RD,CR-41/N 21 ST,14,Pasco,7,3068.51656571908
56,2025,7,149021,14000094,8000,E,F,F,F,F,576,0,0.839,9,0,55.7,7.2,1340.4229,UNSIGNED,SR-54,14,Pasco,7,1340.42294951824
57,2025,1,010044,01050000,30000,F,F,F,F,1,2280,5.32,6.333,9,0,53,7.6,1629.3254,SPINNAKER BLVD,SUNNYBROOK BLVD,01,Charlotte,1,1629.32538978813
58,2025,5,778111,77000208,4600,F,F,F,F,F,345,0,1.6,9,0,53.3,7.5,2590.004,US-17/US-92,KEWANNEE TRL,77,Seminole,5,2590.00402784838
59,2025,2,390009,39020000,5900,C,F,F,F,F,1062,17.565,23.41,9.5,0,52.3,18,9401.916,SR-16,BAKER CO LINE,39,Union,2,9401.91598712441
60,2025,5,700392,70060000,20500,F,F,F,F,1,882,23.67,26.099,9,0,54.8,4.3,3910.5373,PARK AVE,SR-404/PINEDA CSWY,70,Brevard,5,3910.53728823387
61,2025,7,977331,02470002,650,C,F,F,W,F,79,0,0.356,9.5,0,99.9,12.2,573.0011,W CARDINAL ST,SR 589 SB,02,Citrus,8,573.001078639389
62,2025,1,014113,01000035,13000,S,F,F,F,F,2119,0,5.531,9,0,53.1,16.3,8886.7391,US 41/TAMIAMI TRL,VETERANS BLVD,01,Charlotte,1,8886.73910973593
63,2025,2,374402,37130020,400,C,F,F,W,F,108,0,0.205,9.5,0,99.9,26.9,323.4682,I-75 SB,SR-136,37,Suwannee,2,323.46817240611
64,2025,7,149089,14530000,1500,X,F,F,F,F,108,0,6.726,9.5,0,55.7,7.2,10827.9141,CR-41/BLANTON RD,US-301/SR-35,14,Pasco,7,10827.9140998387
65,2025,7,149015,14000197,5000,E,F,F,F,F,360,0,0.762,9,0,55.7,7.2,1229.7014,DECUBELLIS RD,RIDGE ROAD,14,Pasco,7,1229.70136776908
66,2025,7,020004,02030000,18700,C,F,F,F,A,2450,15.09,20.742,9,0,52.8,13.1,9099.001,CR-495/CITRUS AVE,N/A,02,Citrus,7,9099.00102288838
67,2025,5,707095,70540000,750,C,F,F,F,A,36,5.816,6.325,9,0,54.8,4.8,816.5696,PARRISH RD,PARKER ST,70,Brevard,5,816.56964718496
