FID,YEAR_,DISTRICT,COSITE,ROADWAY,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,TruckAADT,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,DESC_FRM,DESC_TO,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
6509,2025,7,149632,10000771,9100,C,F,F,F,F,701,0,0.469,9,0,55.7,7.7,753.6787,COUNTY LINE,K BAR RANCH PKWY,10,Hillsborough,7,753.678673617804
6510,2025,1,160056,16110000,22500,F,F,F,F,1,4005,8.836,12.896,9,0,55.4,17.8,6531.1848,BONNIE MINE RD,CR-555,16,Polk,1,6531.18478027262
6511,2025,7,109118,10000196,11300,C,F,F,F,F,1763,0,1.448,9,0,57.9,15.6,2330.2121,SEVERN AVE,E DAVIS BLVD,10,Hillsborough,7,2330.21214612045
6512,2025,1,160116,16320000,118500,C,F,F,F,A,14694,5.13,6.438,9,0,52.7,12.4,2103.6664,SR 539,Bridge No-160310,16,Polk,1,2103.66636601534
6513,2025,1,164688,16000225,2800,T,F,F,F,F,308,0,0.38,9,0,55.4,11,606.489,S LAKESHORE BLVD,CR 17B/BUCK MOORE RD,16,Polk,1,606.488994905576
6514,2025,1,164801,16000200,1550,S,F,F,F,2,102,1.14,2.209,9,0,55.4,6.6,1720.5191,N/A,US-98/US-17,16,Polk,1,1720.51913704889
6515,2025,3,485072,48731000,13500,C,F,F,F,A,702,0.048,2.106,9,0,57.6,5.2,3325.4286,SCHOOL,SR-742/E BURGESS RD,48,Escambia,3,3325.42862368239
6516,2025,4,860450,86065000,40000,C,F,F,F,2,2600,5.125,6.533,9,0,55.2,6.5,2265.9597,N/A,N/A,86,Broward,4,2265.95971084075
6517,2025,1,160096,16140000,21000,F,F,F,F,1,1680,4.169,5.749,9,0,55.4,8,2542.847,AVE Y NE,LK SMART ESTS  DR,16,Polk,1,2542.84695878184
6518,2025,7,105710,10000214,26500,S,F,F,F,F,3154,0.502,1.263,9,0,57.9,11.9,1225.1679,10002340 WB ON,PALM RIVER RD,10,Hillsborough,7,1225.16786626635
6519,2025,1,164699,16000266,9800,S,F,F,F,2,157,0,0.174,9,0,55.4,1.6,281.6117,UNDERPASS RD,OLD RD 37,16,Polk,1,281.611667372282
6520,2025,2,720301,72100000,55500,C,F,F,F,F,1499,10.034,12.383,9,0,54.2,2.7,3783.532,Bridge No-720763,CR-101A/SAN PABLO RD,72,Duval,2,3783.5320304312
6521,2025,4,865319,86000073,20400,S,F,F,F,2,1040,0.01,1.6,9,0,53.9,5.1,2565.8241,NORTH OF ROUNDABOUT,I-595 EXP WB,86,Broward,4,2565.82407058644
6522,2025,4,864010,86070015,20500,C,F,F,W,F,595,0,0.251,8,0,99.9,2.9,406.4059,SB I-95,WB HOLLYWOOD BLVD,86,Broward,4,406.405919817763
6523,2025,1,161008,16020000,40000,E,F,F,F,F,4000,7.737,8.861,9,0,55.4,10,1809.8035,16470038 WB ON,NEPTUNE RD,16,Polk,1,1809.80353746885
6524,2025,1,164726,16200500,900,F,F,F,F,F,99,0,1.24,9,0,55.4,11,1995.0262,W CLOWER ST,S BROADWAY AVE,16,Polk,1,1995.02619162901
6525,2025,2,720653,72190000,28000,C,F,F,F,F,448,1.461,2.223,9,0,54.4,1.6,1222.8533,N/A,N/A,72,Duval,2,1222.85331126154
6526,2025,2,729200,72516500,15000,X,F,F,F,F,300,0,2.089,9,0,54.4,2,3372.8763,SR-10/ATLANTIC BLVD,FL CAROLINE RD,72,Duval,2,3372.87626407818
6527,2025,3,511603,51020000,6200,C,F,F,F,F,645,24.086,25.27,9.5,0,60.8,10.4,1907.7942,SR-22,MITCHEL RD,51,Gulf,3,1907.79422696929
6528,2025,7,109251,10000734,7100,C,F,F,F,F,1108,0,0.685,9,0,57.9,15.6,1104.3,CULBRETH RD,LITHIA PINECREST RD,10,Hillsborough,7,1104.30001455499
6529,2025,7,105712,10000400,6200,S,F,F,F,F,738,3.064,3.574,9,0,57.9,11.9,819.23,W WATERS AVE,N/A,10,Hillsborough,7,819.229965594722
6530,2025,2,722743,72280228,12500,C,F,F,W,F,2963,0,0.153,8,0,99.9,23.7,248.274,GORE AT I-95 NB,GORE AT BOWDEN RD,72,Duval,2,248.274023761639
6531,2025,2,724053,72270192,7300,C,F,F,W,F,2095,0,0.276,8,0,99.9,28.7,437.9524,GORE AT CHAFFEE NB,GORE AT I-10 EB,72,Duval,2,437.952355290918
6532,2025,2,720062,72190000,41373,C,A,A,A,A,1779,12.047,13.568,9,0,51.7,4.3,2440.919,SAN PABLO RD,N/A,72,Duval,2,2440.91897571009
6533,2025,1,160039,16090000,16400,F,F,F,F,1,1460,34.381,34.88,9,0,55.4,8.9,802.9923,GRACE AVE E,"US17,92/SR600/HINSON",16,Polk,1,802.992285724895
6534,2025,5,797102,79560000,4300,C,F,F,F,A,1079,0,2.136,9,0,57.6,25.1,3430.2231,US-17/SR-15,SR-11,79,Volusia,5,3430.22310936914
6535,2025,1,169951,16320000,106709,C,A,A,A,A,16647,15.646,18.43,9,0,52.7,15.6,4477.5096,N/A,SR-559,16,Polk,1,4477.50961457002
6536,2025,7,109045,10000099,2500,C,F,F,F,F,390,0.08,0.517,9,0,57.9,15.6,709.1137,PIERCE ST N,N/A,10,Hillsborough,7,709.11365704344
6537,2025,1,164800,16000200,2200,S,F,F,F,2,183,0,1.14,9,0,55.4,8.3,1834.8022,CR-555,N/A,16,Polk,1,1834.80215143686
6538,2025,3,480498,48700000,1400,C,F,F,F,F,109,4.805,6.005,9.5,0,53.9,7.8,1941.5599,CR-4A/HWY 4A,US-29/SR-95,48,Escambia,3,1941.55986978764
6539,2025,4,860131,86065000,37000,C,F,F,F,A,1739,4.602,5.125,9,0,55.2,4.7,841.6726,N/A,N/A,86,Broward,4,841.672624104113
6540,2025,2,724167,72292259,19000,C,F,F,W,F,817,0,0.227,8,0,99.9,4.3,372.6001,GORE AT SR-202 EB,CR-101A/SAN PABLO RD,72,Duval,2,372.600149095236
6541,2025,3,511512,51010000,9200,C,F,F,F,F,699,8.744,11.633,9.5,0,60.8,7.6,4667.012,N/A,BAY COUNTY LINE,51,Gulf,3,4667.01203256465
6542,2025,7,109205,10000645,18200,S,F,F,F,F,2839,7.76,9.715,9,0,57.9,15.6,3133.4406,RACE TRACK RD,VAN DYKE RD,10,Hillsborough,7,3133.44058855214
6543,2025,7,109131,10000373,5300,C,F,F,F,F,827,0,0.068,9,0,57.9,15.6,109.297,E BROREIN ST,XTOWN EXPY OFF RP WB,10,Hillsborough,7,109.297048348967
6544,2025,2,722141,72280003,3000,C,F,F,W,F,336,0,0.286,8,0,99.9,11.2,459.4366,GORE AT I-295 SB,GORE AT I-95 NB,72,Duval,2,459.436619854558
6545,2025,3,511507,51613000,1200,C,F,F,F,F,132,0,3.793,9.5,0,60.8,11,6077.9288,KENNY MILL RD,SR-71,51,Gulf,3,6077.92876983154
6546,2025,2,720174,72250000,9500,C,F,F,F,F,1473,7.351,15.061,9,0,54.2,15.5,12390.678,N/A,ST JOHNS RIVER FERRY,72,Duval,2,12390.6779566097
6547,2025,2,725074,72140000,1200,C,F,F,F,F,358,9.008,10.275,9,0,54.4,29.8,2039.3861,US-90/SR-10,SOLAR FIELD,72,Duval,2,2039.38605267644
6548,2025,4,867048,86000118,2300,V,F,F,F,F,209,2.388,2.746,9,0,55.2,9.1,576.1668,N/A,SR 84,86,Broward,4,576.166765384359
6549,2025,1,163031,16070000,32000,S,F,F,F,2,1024,1.779,2.773,9,0,55.4,3.2,1599.6724,E BELLA VISTA ST,E ROBSON ST,16,Polk,1,1599.67235351305
6550,2025,2,724064,72270436,15500,C,F,F,W,F,4449,0,0.593,8,0,99.9,28.7,961.6913,GORE AT I-10 WB,GORE AT I-295 SB,72,Duval,2,961.691336717312
6551,2025,1,160164,16300000,34500,C,F,F,F,F,5106,2.482,2.946,9,0,55.4,14.8,744.8766,OVERLOOK DR/CR 550,CYPRESS GARDENS RD,16,Polk,1,744.876584920393
6552,2025,7,109018,10000079,6600,C,F,F,F,F,1030,0,1.018,9,0,57.9,15.6,1638.7985,GEORGE RD,MEMORIAL HWY,10,Hillsborough,7,1638.79853539838
6553,2025,1,164003,16000133,2500,S,F,F,F,2,103,0,1.028,9,0,55.4,4.1,1691.323,LAKE HOWARD DR NW,HAVENDALE BLVD,16,Polk,1,1691.32296823096
6554,2025,2,974151,72470415,1000,C,F,F,W,F,47,0,0.608,8,0,99.9,4.7,976.685,SR 134 / 103RD ST WB,SR 23 SB,72,Duval,8,976.684997532131
6555,2025,4,860100,86050000,9200,C,F,F,F,1,405,14.174,15.161,9,0,54.6,4.4,1588.9446,N/A,N/A,86,Broward,4,1588.94456097641
6556,2025,1,165038,16090000,7500,E,F,F,F,F,458,4.213,6.02,9,0,55.4,6.1,2908.0978,11 TH ST,CR-630,16,Polk,1,2908.09779544773
6557,2025,4,867092,86000043,17100,S,F,F,F,F,1556,1.012,2.016,9,0,53.9,9.1,1618.822,N/A,SR-7/US-441,86,Broward,4,1618.8220240685
6558,2025,2,720851,72291000,23500,C,F,F,F,F,1716,2.288,3.338,9,0,54.4,7.3,1688.4276,E SR-228/POST ST,DIGNAN ST,72,Duval,2,1688.42763873871
6559,2025,7,101563,10000175,10900,C,F,F,F,A,2126,0.058,0.381,9,0,57.9,19.5,511.502,S FLORIDA AVE,CHANNELSIDE DR,10,Hillsborough,7,511.501986991109
6560,2025,2,724298,72090166,2000,C,F,F,W,F,224,0,0.116,8,0,99.9,11.2,182.643,GORE AT ATLANTIC BLV,GORE AT COMMANDO EXP,72,Duval,2,182.642982036739
6561,2025,4,867255,86000001,7100,S,F,F,F,2,866,0,2.531,9,0,53.9,12.2,4075.0524,SR-25/US-27,R&R GARDEN CENTER,86,Broward,4,4075.05235185237
6562,2025,7,109117,10000301,4200,C,F,F,F,F,655,0,1.296,9,0,57.9,15.6,2084.6331,HANLEY RD,BENJAMIN RD,10,Hillsborough,7,2084.63311661845
6563,2025,2,720032,72230000,37500,C,F,F,F,F,1013,0.458,0.842,9,0,54.2,2.7,618.0568,FORRESTAL CIR S,DONNER RD,72,Duval,2,618.056805598664
6564,2025,2,721006,72120000,15500,C,F,F,F,F,946,6.911,10.762,9,0,54.4,6.1,6204.7202,YELLOWWATER RD,N/A,72,Duval,2,6204.72024165699
6565,2025,4,868001,86000094,20200,S,F,F,F,F,1838,2.6,3.6,9,0,53.9,9.1,1606.4133,N/A,N/A,86,Broward,4,1606.41325257027
6566,2025,1,164579,16010101,2200,S,F,F,F,2,103,0,0.959,9,0,55.4,4.7,1541.118,MASSACHUSETTS AVE,SLOAN AVE,16,Polk,1,1541.11798219847
6567,2025,1,165198,16210000,46500,S,F,F,F,2,2279,2.678,3.092,9,0,55.4,4.9,666.7445,CR 582/GRIFFIN RD,N/A,16,Polk,1,666.744483350898
6568,2025,7,109210,10000057,15700,C,F,F,F,F,2449,2.403,2.414,9,0,57.9,15.6,17.6488,S ARMENIA AV,N/A,10,Hillsborough,7,17.648847786816
6569,2025,2,729251,72680503,5700,F,F,F,F,F,114,0,2.877,9,0,54.4,2,4628.1667,RIVERGATE DR,SR-13/SAN JOSE BLVD,72,Duval,2,4628.16671588392
6570,2025,2,724138,72292288,18000,C,F,F,W,F,774,0,0.245,8,0,99.9,4.3,395.482,GORE AT BELFORT RD,GORE AT SR-202/JTB,72,Duval,2,395.481971847811
6571,2025,7,105731,10000630,25500,S,F,F,F,F,3035,0,0.372,9,0,57.9,11.9,599.6667,W KENNEDY BLVD,CR-587 / WEST SHORE,10,Hillsborough,7,599.666650115767
6572,2025,1,165029,16060000,48000,F,F,F,F,1,5808,0.521,1.13,9,0,55.4,12.1,979.8982,SR 60/VAN FLEET DR,LYLE PKWY,16,Polk,1,979.89821694597
6573,2025,4,869545,86000025,7000,S,F,F,F,F,637,0,0.486,9,0,53.9,9.1,779.2021,MC NAB RD,N/A,86,Broward,4,779.20210065643
6574,2025,7,109167,10000170,12700,C,F,F,F,F,1981,0,1.055,9,0,57.9,15.6,1710.1143,SYMMES RD,GIBSONTON DR,10,Hillsborough,7,1710.1143006942
6575,2025,1,160019,16130000,11000,F,F,F,F,1,3806,18.334,25.623,9.5,0,55.4,34.6,11730.4218,CR 630,E END BR/OSCEOLA CL,16,Polk,1,11730.4217949788
6576,2025,7,109102,10000247,2500,C,F,F,F,F,390,0,2.493,9,0,57.9,15.6,4000.2142,W EUCLID AV,SR-60/KENNEDY BLVD,10,Hillsborough,7,4000.21418316313
6577,2025,4,869713,86000014,10600,S,F,F,F,F,965,3.339,4.855,9,0,53.9,9.1,2433.9123,N/A,NOB HILL RD,86,Broward,4,2433.91225918134
6578,2025,1,164939,16000241,5400,F,F,F,F,F,799,0,6.553,9.5,0,55.4,14.8,10545.434,SR33/COMMONWEALTH AV,UNSIGNED,16,Polk,1,10545.4340078334
6579,2025,2,725091,72100000,23000,C,F,F,F,F,621,14.881,15.531,9,0,54.2,2.7,1046.8989,PENMAN RD,ATLANTIC BLVD,72,Duval,2,1046.89887146782
6580,2025,3,484055,48731000,8700,C,F,F,F,A,452,4.814,5.931,9,0,57.6,5.2,1804.9857,US-90A/SR-10/NINE MI,E TEN MILE RD,48,Escambia,3,1804.98567195415
6581,2025,4,864014,86070019,17000,C,F,F,W,F,935,0,0.212,8,0,99.9,5.5,347.2495,SB I-95,EB SHERIDAN ST,86,Broward,4,347.249524226406
6582,2025,1,164951,16000607,12400,F,F,F,F,F,1835,0,5.278,9,0,55.4,14.8,8492.2326,COUNTY LINE RD,SR-37/FLORIDA AVE,16,Polk,1,8492.23258455789
6583,2025,2,720921,72292000,98000,C,F,F,F,F,4214,8.222,10.052,8,0,54.2,4.3,2944.8978,Bridge No-720460,Bridge No-720453,72,Duval,2,2944.89783946382
6584,2025,7,109035,10000774,1300,C,F,F,F,F,203,0,0.17,9,0,57.9,15.6,274.3076,S BOULEVARD,S MAGNOLIA AVE,10,Hillsborough,7,274.307610268001
6585,2025,1,164634,16000125,11500,S,F,F,F,2,679,0,1.164,9,0,55.4,5.9,1872.5327,OLD MEDULLA RD,DRANE FIELD RD,16,Polk,1,1872.53268908976
6586,2025,7,109056,10000709,2700,X,F,F,F,F,421,0,0.604,9,0,57.9,15.6,973.0822,E 24 AVE,SR-574 / DR MARTIN L,10,Hillsborough,7,973.082196063431
6587,2025,7,105714,10000603,18000,S,F,F,F,F,2142,0,4.229,9,0,57.9,11.9,6796.345,RACE TRACK RD,SHELDON RD,10,Hillsborough,7,6796.34495640043
6588,2025,2,722748,72280231,4100,C,F,F,W,F,972,0,0.137,8,0,99.9,23.7,219.1765,GORE AT I-95 SB,GORE AT UNIVERSITY,72,Duval,2,219.176511016736
6589,2025,2,722613,72270206,4600,C,F,F,W,F,1311,0,0.172,8,0,99.9,28.5,276.742,GORE I-10 WB,GORE MCDUFF AVE,72,Duval,2,276.741992190728
6590,2025,2,720650,72170000,26500,C,F,F,F,F,928,4.121,5.162,9,0,54.4,3.5,1674.3355,SR-134/103RD ST,BARTHOLF AVE,72,Duval,2,1674.33550800988
6591,2025,2,720847,72560000,14100,C,F,F,F,F,578,0,0.628,9,0,54.4,4.1,1010.5882,W EDGEWOOD AVE,VOORHIES RD,72,Duval,2,1010.58824976397
6592,2025,1,165089,16100000,39000,E,F,F,F,F,3900,4.743,5.885,9,0,55.4,10,1837.8412,SR700/LK PARKER AVE,SR 600/US 92,16,Polk,1,1837.84115269743
6593,2025,5,797107,79580000,2600,S,F,F,F,2,60,7.216,8.03,9,0,57.6,2.3,1310.0137,W NEW YORK AVE,NORA LN,79,Volusia,5,1310.0136563005
6594,2025,1,167053,16320032,4900,S,F,F,W,F,696,0,0.186,9.5,0,99.9,14.2,304.4688,SR-559 NB,I-4/SR-400 EB,16,Polk,1,304.468809952636
6595,2025,1,164365,16000224,1350,S,F,F,F,2,39,0.569,1.757,9,0,55.4,2.9,1912.3674,SUNSET DR,CR 17A/BURNS AVE,16,Polk,1,1912.36740855336
6596,2025,1,164458,16000185,11700,S,F,F,F,2,1135,0,0.7,9,0,55.4,9.7,1123.0112,17TH ST,S 30TH ST,16,Polk,1,1123.01115574387
6597,2025,3,480421,48640000,2400,C,F,F,F,F,187,0,5.914,9.5,0,53.9,7.8,9565.8279,CR-99/HWY 99,CR-95A/HWY 95A,48,Escambia,3,9565.8279463751
6598,2025,4,860129,86065000,39000,C,F,F,F,F,2262,8.633,9.619,9,0,55.2,5.8,1586.8157,COPANS RD,N/A,86,Broward,4,1586.81567618089
6599,2025,2,724037,72290243,14500,C,F,F,W,F,1624,0,0.237,8,0,99.9,11.2,372.7572,GORE AT I-95 NB,GORE AT SR-102,72,Duval,2,372.757199700797
6600,2025,2,724319,72090371,10500,C,F,F,W,F,1176,0,0.094,8,0,99.9,11.2,151.2803,GORE AT SR-115,GORE AT 72090445,72,Duval,2,151.280339004403
6601,2025,7,102677,10000643,7100,C,D,D,W,F,845,0.152,0.304,9,0,99.9,11.9,241.4694,E LINEBAUGH AVE,E LINEBAUGH AVE,10,Hillsborough,7,241.469439320594
6602,2025,4,867462,86000012,38500,S,F,F,F,F,3504,0,2.867,9,0,53.9,9.1,4614.8565,END OF ROAD,SR-817/UNIVERSITY DR,86,Broward,4,4614.85654572663
6603,2025,2,722353,72280000,173000,F,F,F,F,F,41001,11.643,13.124,8,0,54.2,23.7,2387.2705,Bridge No-720814,Bridge No-720331,72,Duval,2,2387.27048430721
6604,2025,1,164702,16000323,6800,T,F,F,F,F,1006,0,3.509,9,0,55.4,14.8,5646.7147,SR-25/US-27,SR-17/SCENIC HYWY,16,Polk,1,5646.71471372323
6605,2025,2,724351,72270001,1800,C,F,F,W,F,517,0,0.206,8,0,99.9,28.7,324.678,GORE AT I-10 EB,GORE AT HAMMOND BLVD,72,Duval,2,324.677996432846
6606,2025,2,725507,72160000,17000,C,F,F,F,F,238,12.774,13.21,9,0,54.4,1.4,701.3475,N/A,N/A,72,Duval,2,701.34754478676
6607,2025,4,869622,86000112,9300,S,F,F,F,F,846,0,1.028,9,0,55.2,9.1,1650.2608,HOLLYWOOD BLVD/SR820,N/A,86,Broward,4,1650.26076454577
6608,2025,1,160026,16020000,44000,E,F,F,F,F,4268,14.384,15.096,9,0,55.4,9.7,1146.4397,N/A,E ECHO ST,16,Polk,1,1146.43969611872
6609,2025,1,164148,16290000,19700,F,F,F,F,1,2364,0.124,3.383,9,0,55.4,12,4041.3219,LAKE SHORE WAY,N/A,16,Polk,1,4041.32190002688
6610,2025,7,109073,10000084,11000,C,F,F,F,F,1716,0,1.469,9,0,57.9,15.6,2359.5274,SYMMES RD,GIBSONTON DR,10,Hillsborough,7,2359.52736927075
6611,2025,1,160173,16000178,8200,S,F,F,F,F,599,0,0.539,9,0,55.4,7.3,870.9429,W PIPKIN RD,OLD MEDULLA RD,16,Polk,1,870.942906079653
6612,2025,2,723918,72293000,14400,F,F,F,F,1,677,4.87,5.886,9,0,54.4,4.7,1633.9282,BAINBRIDGE DR,BEG LIMITED ACCESS,72,Duval,2,1633.92820810026
6613,2025,4,865337,86060000,18600,C,F,F,F,2,3664,7.049,7.997,9,0,53.9,19.7,1525.6425,N/A,N/A,86,Broward,4,1525.64251624883
6614,2025,1,165104,16060000,52000,E,F,F,F,F,4992,10.466,11.671,9,0,55.4,9.6,1938.9454,N CRYSTAL LAKE DR,SR700/S LK PARKER AV,16,Polk,1,1938.94543067425
6615,2025,4,869543,86000025,6900,S,F,F,F,F,628,0.486,1.669,9,0,53.9,9.1,1896.5238,N/A,UNIVERSITY DR,86,Broward,4,1896.52376238528
6616,2025,7,109074,10000151,10900,C,F,F,F,F,1700,0,0.487,9,0,57.9,15.6,785.6662,US-301,N/A,10,Hillsborough,7,785.666172996969
6617,2025,2,729288,72090159,300,C,F,F,F,F,34,0,0.154,9.5,0,99.9,11.2,248.2943,WINTHROP/HAINES ST,11TH ST E,72,Duval,2,248.294344350132
6618,2025,1,160076,16170000,21000,F,F,F,F,1,4158,2.585,6.851,9,0,51.7,19.8,6859.9743,N/A,N/A,16,Polk,1,6859.97434970678
6619,2025,7,109115,10000278,7600,C,F,F,F,F,1186,0,1.507,9,0,57.9,15.6,2411.5229,SR-580/E BUSCH BLVD,E FOWLER AVE,10,Hillsborough,7,2411.52285137293
6620,2025,2,724043,72290248,7400,C,F,F,W,F,829,0,0.208,8,0,99.9,11.2,334.6007,GORE AT I-95 NB,GORE PECAN PARK RD,72,Duval,2,334.60068936702
6621,2025,2,724308,72090177,1600,C,F,F,W,F,179,0,0.039,8,0,99.9,11.2,62.6951,GORE AT US-1/SR-115,GORE AT 72090154,72,Duval,2,62.6951371088759
6622,2025,7,105722,10000645,36500,S,F,F,F,F,4344,2.693,6.042,9,0,57.9,11.9,5367.7707,TRANQUILITY OAKS DR,SHELDON RD,10,Hillsborough,7,5367.77065152716
6623,2025,4,869099,86000013,26500,C,F,F,F,A,1537,0,0.922,9,0,53.9,5.8,1486.1199,86472017 SB ON RAMP,CORAL RIDGE DR,86,Broward,4,1486.11987376537
6624,2025,2,724015,72280216,5500,C,F,F,W,F,1304,0,0.214,8,0,99.9,23.7,344.4169,GORE AT BAYMEADOWS,GORE AT I-95 SB,72,Duval,2,344.416861405989
6625,2025,1,164160,16000334,14400,T,F,F,F,F,490,0,0.273,9,0,55.4,3.4,442.8642,FLORIDA AVE,LAKELAND HILLS BLVD,16,Polk,1,442.864175561731
6626,2025,2,724350,72270005,1400,C,F,F,W,F,402,0,0.183,8,0,99.9,28.7,288.1772,GORE AT HAMMOND BLVD,GORE AT I-10 WB,72,Duval,2,288.177157396823
6627,2025,2,720126,72160000,21500,C,F,F,F,F,301,11.371,12.163,9,0,54.4,1.4,1274.1378,N/A,N/A,72,Duval,2,1274.13776440565
6628,2025,7,149632,10000759,9100,C,F,F,F,F,701,0,2.52,9,0,55.7,7.7,4056.6672,KINNAN ST,DEAD END,10,Hillsborough,7,4056.66724049023
6629,2025,1,164521,16080000,15300,F,F,F,F,F,1239,0.056,6.947,9,0,55.4,8.1,11180.6951,RIFLE RANGE RD,US 27,16,Polk,1,11180.6950793968
6630,2025,1,165200,16020000,43500,F,F,F,F,1,4611,8.861,9.122,9,0,55.4,10.6,420.1312,NEPTUNE RD,SR-655/RECKER HWY,16,Polk,1,420.131209034761
6631,2025,1,163131,16293000,30500,S,F,F,F,2,1342,1.251,2.117,9,0,55.4,4.4,1394.1082,CENTRAL AVE,N LAKE SILVER DR,16,Polk,1,1394.10820262705
6632,2025,7,109182,10000080,6600,C,F,F,F,F,1030,0,1.494,9.5,0,57.9,15.6,2410.3083,JAMES L  REDMAN PKWY,ROBERTS RANCH RD,10,Hillsborough,7,2410.3082533534
6633,2025,1,164137,16000160,7100,X,F,F,F,F,1051,0,0.722,9,0,55.4,14.8,1157.1406,MASSACHUSETTS AVE,S LAKE AVE,16,Polk,1,1157.14055145321
6634,2025,2,720854,72500002,5100,C,F,F,F,F,209,0,0.869,9,0,54.4,4.1,1398.8293,SR109/UNIVERSITY BLV,GROVELAND DR,72,Duval,2,1398.82933098191
6635,2025,4,865108,86050000,13200,C,F,F,F,2,304,15.161,15.786,9,0,54.6,2.3,1006.2334,N/A,N/A,86,Broward,4,1006.23344955956
6636,2025,1,165031,16090000,11500,E,F,F,F,F,1702,29.034,31.314,9,0,55.4,14.8,3669.2275,CR 542,CR546/KOKOMO RD,16,Polk,1,3669.22751835396
6637,2025,4,867562,86000042,40000,S,F,F,F,F,3640,0,0.993,9,0,53.9,9.1,1597.5208,SR-817/UNIVERSITY DR,N/A,86,Broward,4,1597.52084531825
6638,2025,7,109069,10000137,25000,C,F,F,F,F,3900,0,3.324,9,0,57.9,15.6,5346.0931,N ARMENIA AVE,ROWLETT PARK DR,10,Hillsborough,7,5346.09311528361
6639,2025,2,724296,72090163,1400,C,F,F,W,F,157,0,0.082,8,0,99.9,11.2,132.9077,GORE AT TAUNTON RD,GORE AT EMERSON EXPY,72,Duval,2,132.907661441443
6640,2025,1,165005,16161000,5000,C,F,F,F,A,545,0,0.683,9,0,55.4,10.9,1103.5105,RECKER HWY/SR 655,DERBY AVE,16,Polk,1,1103.51050082631
6641,2025,7,109108,10000270,29000,C,F,F,F,A,2030,0,4.898,9,0,57.9,7,7885.6137,SHELDON RD,DALE MABRY HWY,10,Hillsborough,7,7885.61370325501
6642,2025,2,723920,72193000,36000,F,F,F,F,F,504,3.36,3.821,9,0,54.4,1.4,742.0687,MONUMENT RD,N/A,72,Duval,2,742.068693266483
6643,2025,2,729242,72110500,17600,S,F,F,F,F,352,0,0.414,9,0,54.4,2,673.9542,END STATE MAINT SIGN,FT CAROLINE RD,72,Duval,2,673.954167927821
6644,2025,4,869381,86000086,21500,S,F,F,F,F,1957,1.015,2.013,9,0,53.9,9.1,1609.4273,N/A,N/A,86,Broward,4,1609.42733735436
6645,2025,1,161007,16010000,13600,C,F,F,F,A,1836,0.987,2.29,9,0,55.4,13.5,2094.7709,N/A,AIRPORT RD/SR 572,16,Polk,1,2094.77091778882
6646,2025,1,165197,16210000,58000,S,F,F,F,2,2262,3.868,4.198,9,0,55.4,3.9,531.4655,SHOPPING CTR ENT,CARPENTERS WAY,16,Polk,1,531.465465223652
6647,2025,7,105706,10000060,12700,S,F,F,F,F,1105,0,2.574,9,0,57.9,8.7,4145.4843,W GREEN ST,SR-685/ HIGHLAND AVE,10,Hillsborough,7,4145.48427161329
6648,2025,2,720626,72590000,19200,C,F,F,F,F,384,0,2.41,9,0,54.4,2,3875.3983,US-1/SR-5/PHILIPS,US-1/SR-5/PHILLIPS,72,Duval,2,3875.39829463183
6649,2025,7,109251,10000747,7100,C,F,F,F,F,1108,0,0.262,9,0,57.9,15.6,428.1532,BELL SHOALS RD,NATURES WAY BLVD,10,Hillsborough,7,428.153187157531
6650,2025,2,720887,72290000,128000,C,F,F,F,F,14336,2.25,3.802,8,0,54.2,11.2,2497.4987,N/A,Bridge No-720234,72,Duval,2,2497.49866343509
6651,2025,1,165195,16030101,15000,S,F,F,W,2,960,0,0.885,9,0,99.9,6.4,1422.4795,POST OFFICE ENT,CRYSTAL BEACH RD,16,Polk,1,1422.47946190592
6652,2025,3,484024,48570000,5300,C,F,F,F,F,413,2.499,2.688,9,0,57.6,7.8,305.3406,SR-295/NEW WARRINGTO,CR-295A/N OLD CORRY,48,Escambia,3,305.340570521123
6653,2025,7,109054,10000116,7000,C,F,F,F,F,1092,0,1.004,9,0,57.9,15.6,1614.7536,E HILLSBOROUGH AVE,E SLIGH AV,10,Hillsborough,7,1614.75362267108
6654,2025,1,165119,16130000,30500,S,F,F,F,2,5490,0,1.568,9,0,55.4,18,2523.4022,W END BR#160038,HUNT BROTHERS RD,16,Polk,1,2523.40219494953
6655,2025,7,109099,10000241,8500,C,F,F,F,F,1326,0,0.492,9,0,57.9,15.6,802.8955,HANNA AVE,E SLIGH AVE,10,Hillsborough,7,802.89552422499
6656,2025,4,868500,86000014,27500,C,F,F,F,2,330,0.469,0.949,9,0,53.9,1.2,770.5428,N/A,N/A,86,Broward,4,770.542758811127
6657,2025,1,164499,16000292,9400,S,F,F,F,2,451,1.053,1.378,9.5,0,55.4,4.8,523.8484,CUCUMBER ST,W PIPKIN RD,16,Polk,1,523.848353858745
6658,2025,2,724330,72100177,5600,C,F,F,W,F,627,0,0.154,9,0,99.9,11.2,251.7206,GORE AT SR-10 WB,SR-A1A/MAYPORT RD,72,Duval,2,251.720589385794
6659,2025,4,867546,86000081,22000,S,F,F,F,F,2002,0,1.377,9,0,53.9,9.1,2222.3961,STIRLING RD,ORANGE DR,86,Broward,4,2222.39614877017
