FID,ROADWAY,FUNCLASS,BEGIN_POST,END_POST,Shape_Leng,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
8646,12001101,14,0.69,2.29,2574.7415,1,12,Lee,1,2574.74152674461
8647,10000747,18,0,0.262,428.1532,7,10,Hillsborough,7,428.153187157531
8648,29503000,07,0.897,1.679,1256.4687,2,29,Columbia,2,1256.46868933862
8649,86000060,19,0,1.028,1654.1065,4,86,Broward,4,1654.10650741195
8650,87000094,16,0,2.931,4708.883,6,87,Miami-Dade,6,4708.88301860411
8651,93900002,19,0,0.632,1018.1014,4,93,Palm Beach,4,1018.10139681453
8652,93607000,17,0,0.233,379.1824,4,93,Palm Beach,4,379.182406261049
8653,93580503,14,0,3.07,4928.1346,4,93,Palm Beach,4,4928.13456539728
8654,86000008,19,0,0.994,1595.0907,4,86,Broward,4,1595.09067242624
8655,29900013,09,0,0.202,325.8752,2,29,Columbia,2,325.875228887198
8656,16000290,17,0,0.6,971.756,1,16,Polk,1,971.756026909802
8657,57090000,17,0,0.885,1428.4677,3,57,Okaloosa,3,1428.46773852129
8658,30505001,09,0,0.257,416.2635,2,30,Dixie,2,416.263515083042
8659,10000732,18,0,2.757,4440.072,7,10,Hillsborough,7,4440.07200579236
8660,12000256,18,0,0.976,1575.0427,1,12,Lee,1,1575.04271461844
8661,16210000,04,11.211,17.75,10530.2681,1,16,Polk,1,10530.2681171508
8662,87000170,19,0,0.7,1132.0355,6,87,Miami-Dade,6,1132.0354553302
8663,87000270,17,0,1.504,2422.1001,6,87,Miami-Dade,6,2422.10007847012
8664,75280902,11,0,15.56,25040.868,5,75,Orange,5,25040.8679891478
8665,16040000,14,12.511,15.064,4112.7785,1,16,Polk,1,4112.77849800761
8666,29620102,17,0,0.213,340.1322,2,29,Columbia,2,340.132173358803
8667,10000726,18,0,0.26,418.1701,7,10,Hillsborough,7,418.170105114457
8668,86000076,17,0,2.594,4175.8963,4,86,Broward,4,4175.89627152754
8669,93855000,18,0,0.729,1174.2299,4,93,Palm Beach,4,1174.22988095566
8670,79580000,17,3.203,6.458,5238.2975,5,79,Volusia,5,5238.29754794149
8671,12000225,18,0,0.982,1583.9693,1,12,Lee,1,1583.96933560298
8672,12060000,16,3.48,3.65,273.5445,1,12,Lee,1,273.544548683845
8673,12000530,18,0.128,1.586,2387.8085,1,12,Lee,1,2387.80851639512
8674,87000223,17,0,1.455,2337.173,6,87,Miami-Dade,6,2337.17300747135
8675,12001000,14,0,5.257,8465.6588,1,12,Lee,1,8465.65884061132
8676,16010000,17,5.337,6.4,1709.9543,1,16,Polk,1,1709.95432751174
8677,29511000,18,1.233,1.238,8.0654,2,29,Columbia,2,8.0653843077616
8678,16290001,07,0,0.727,1171.0968,1,16,Polk,1,1171.09678161806
8679,87000099,17,0,0.805,1311.1775,6,87,Miami-Dade,6,1311.17746625696
8680,86000019,17,0.277,0.714,703.806,4,86,Broward,4,703.806013850385
