FID,RDWYID,SIDE,VALUE_,EFFDATE,CNTLRDES,MAINTAGC,SDESTRET,SIGNALID,SIGNALNC,SIGSTRCT,TYPECABL,SEC_STAT,BEGPT,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,x,y
1,10340000,C,N/A,N/A,N/A,N/A,N/A,N/A,02,N/A,N/A,ON,3.076,7,10,Hillsborough,7,356898.0595,3096001.0938
2,16330000,C,N/A,N/A,SR 471,POLK,SR 35/SR 700/US 98,776,01,03,02,ON,0,1,16,Polk,1,396445.6544,3125126.1939
3,10030101,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,1.041,7,10,Hillsborough,7,388902.9426,3099591.2524
4,94010000,C,02,05-JUN-2005,N/A,N/A,WALTON RD,111085,N/A,01,N/A,ON,2.675,4,94,St. Lucie,4,568866.6074,3019650.1771
5,48110000,C,02,N/A,N/A,ESCAMBIA COUNTY,57TH AVENUE,038,N/A,03,N/A,ON,9.577,3,48,Escambia,3,-104820.2895,3382791.501
6,16030000,C,02,N/A,SR 555 / US 17/3RD S,WINTER HAVEN,AVE O SW,625,N/A,03,01,ON,28.03,1,16,Polk,1,428146.3314,3098254.9208
7,10823000,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF,4.044,7,10,Hillsborough,7,368292.173000002,3086155.7872
8,72190000,C,02,27-OCT-1986,N/A,JACKSONVILLE,ART MUS DR/HIGHLAND,N/A,N/A,03,N/A,ON,1.513,2,72,Duval,2,441093.441000001,3351707.3618
9,87030001,C,N/A,N/A,N/A,MIAMI DADE,SE 2 ST/BEG 87030001,2224,02,01,N/A,ON,0,6,87,Miami-Dade,6,581471.6248,2850756.0002
10,26003000,C,02,22-SEP-1988,N/A,CITY OF GAINESVILLE,NE 9TH STREET,N/A,N/A,01,N/A,ON,1.464,2,26,Alachua,2,372776.769,3283368.4396
11,87020000,C,02,N/A,N/A,MIAMI-DADE,SW 117 AVE/SW 211 ST,4252,N/A,01,N/A,ON,11.66,6,87,Miami-Dade,6,562655.655499999,2828406.7375
12,78010000,C,02,21-MAR-2006,N/A,ST. JOHNS COUNTY,WATSON RD,N/A,N/A,01,N/A,ON,10.478,2,78,St. Johns,2,469049.7647,3296720.4633
13,75011000,C,02,25-OCT-2022,INTELIGHT X3 TS2-2,CITY OF MAITLAND,TRELAGO WAY,75476,N/A,01,N/A,ON,1.486,5,75,Orange,5,463863.2987,3167636.7302
14,87030000,C,02,30-APR-2009,N/A,MIAMI-DADE,NE 2 ST,6356,N/A,01,N/A,ON,11.09,6,87,Miami-Dade,6,581464.228599999,2851161.5375
15,10140000,C,02,24-DEC-1986,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,5.012,7,10,Hillsborough,7,345767.461100001,3094583.1796
16,07030000,C,02,N/A,SR 80/US27/SUGARLAND,CLEWISTON,WC OWEN AVE,176,N/A,01,N/A,ON,3.266,1,07,Hendry,1,506357.0966,2959217.2014
17,77120000,C,02,01-MAY-2018,SR 434,SEMINOLE COUNTY,TARRYTOWNTR/ROXBORO,77200,N/A,01,N/A,ON,5.8,5,77,Seminole,5,462896.3341,3174332.1008
18,08050000,C,N/A,N/A,N/A,N/A,N/A,N/A,02,N/A,N/A,ON,10.312,7,08,Hernando,7,366223.207099999,3158139.9891
19,14580000,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF,4.566,7,14,Pasco,7,331233.1353,3124818.5003
20,87140000,C,02,N/A,N/A,MIAMI-DADE,NW 191 ST,3612,N/A,01,N/A,ON,13.096,6,87,Miami-Dade,6,579559.112000002,2870358.0315
21,72292000,C,02,30-AUG-1991,N/A,JACKSONVILLE,GATE PKWY,N/A,N/A,01,N/A,ON,4.028,2,72,Duval,2,448477.343,3346618.0078
22,75080101,C,N/A,N/A,SR 15EB(ANDERSON ST),ORLANDO,SR 15 MILLS AV),N/A,02,N/A,N/A,ON,0.806,5,75,Orange,5,464367.603799999,3156716.4403
23,01010000,C,02,23-FEB-1993,US 41/TAMIAMI TRAIL,PUNTA GORDA,AIRPORT RD/POMPANO,5,N/A,01,N/A,ON,12.489,1,01,Charlotte,1,396025.9514,2977683.7063
24,17070000,C,02,02-AUG-2022,SR 72 / CLARK RD,SARASOTA,IBIS/TALON BLVD,1599,N/A,N/A,N/A,ON,5.708,1,17,Sarasota,1,358000.769000001,3017044.4238
25,86065000,C,02,28-MAY-1987,N/A,N/A,NW 6 ST,1428,N/A,03,02,ON,13.093,4,86,Broward,4,584509.6274,2911966.7413
26,15030000,C,02,20-AUG-1984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,3.768,7,15,Pinellas,7,330131.4935,3089115.6138
27,15600000,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF,0.831,7,15,Pinellas,7,323342.6804,3093759.7876
28,75035001,C,02,24-JAN-1990,SR535(APOPKAVINELAND,ORANGE COUNTY,SR 536(WORLD CTR DR),75180,N/A,01,N/A,ON,0.895,5,75,Orange,5,451292.413300001,3136901.4597
29,14030000,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,8.482,7,14,Pasco,7,332176.843900001,3130551.2745
30,88010000,C,02,02-MAR-1999,N/A,N/A,BARBER ST,135,N/A,01,N/A,ON,15.823,4,88,Indian River,4,554667.2199,3071813.29
31,26060000,C,01,16-NOV-1982,N/A,CITY OF WALDO,NW 1ST AVENUE,N/A,N/A,N/A,N/A,ON,26.269,2,26,Alachua,2,387166.666700001,3296421.5233
32,87281000,C,02,N/A,N/A,MIAMI-DADE,E 17 ST,4594,N/A,01,N/A,ON,7.678,6,87,Miami-Dade,6,573572.6609,2857917.1826
33,58001000,C,02,N/A,N/A,CITY OF MILTON,HAMILTON BRIDGE ROAD,001,N/A,03,N/A,ON,0.541,3,58,Santa Rosa,3,-80959.2764999978,3403520.7577
34,48050000,C,02,N/A,N/A,ESCAMBIA COUNTY,MARY AVENUE,078,N/A,03,N/A,ON,22.468,3,48,Escambia,3,-99733.391499999,3384308.7114
35,94010000,C,02,N/A,N/A,N/A,GARDENIA AVE,N/A,N/A,01,N/A,ON,11.484,4,94,St. Lucie,4,566634.3467,3033284.8177
36,14090000,C,02,N/A,N/A,PASCO COUNTY,SADDLEBROOK,N/A,N/A,N/A,N/A,OFF,10.325,7,14,Pasco,7,369163.6408,3124550.3921
37,16170000,C,02,21-AUG-1989,SR 25 / US 27,POLK,CR 640 / ALTURAS RD,736,N/A,03,02,ON,14.915,1,16,Polk,1,442304.1936,3079914.8101
38,10002018,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EXCLUSIVE,0.167,7,10,Hillsborough,7,356984.031600001,3091959.5005
39,70100000,C,N/A,N/A,SR 520(KING ST),N/A,SR 501(CLEARLAKE RD),N/A,02,N/A,N/A,ON,7.363,5,70,Brevard,5,524011.100000001,3136624.7509
40,48040000,C,02,N/A,N/A,ESCAMBIA COUNTY,BEVERLY PARKWAY,079,N/A,01,N/A,ON,3.543,3,48,Escambia,3,-99792.9722999996,3387117.0097
41,79230000,C,02,30-SEP-1999,SR 421(DUNLAWTON AV),PORT ORANGE,YORKTOWN BLVD,79259,N/A,01,N/A,ON,0.726,5,79,Volusia,5,497538.6741,3220427.1153
42,10310000,C,02,22-MAY-1985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,4.619,7,10,Hillsborough,7,359413.003800002,3101627.8624
43,76110000,C,02,01-JUN-1988,N/A,PUTNAM COUNTY,CR 216/MILL RD,N/A,N/A,03,N/A,ON,19.59,2,76,Putnam,2,433855.984900001,3281652.1895
44,87019000,C,02,N/A,N/A,MIAMI-DADE,NW 211 ST,5902,N/A,01,N/A,ON,4.623,6,87,Miami-Dade,6,575413.693900002,2872382.8549
45,46010002,C,02,N/A,N/A,PANAMA CITY BEACH,FIRE STATION 2,025,N/A,03,N/A,ON,2.968,3,46,Bay,3,37227.0895999996,3348691.1843
46,87044000,C,02,N/A,N/A,MIAMI-DADE,SW 109 AV,4880,N/A,01,N/A,ON,0.888,6,87,Miami-Dade,6,563007.950000001,2846176.6084
47,93010000,C,02,N/A,N/A,N/A,SE 2 ST,53450,N/A,03,02,ON,9.45,4,93,Palm Beach,4,593015.2999,2926766.2423
48,75050000,C,02,04-MAY-2010,SR 50(COLONIAL DR),ORANGE COUNTY,VIZCAYA LAKE RD,75246,N/A,01,N/A,ON,9.08,5,75,Orange,5,450204.5809,3158443.246
49,87250000,C,02,N/A,N/A,MIAMI-DADE,E 6 AVE,2853,N/A,01,N/A,ON,0.681,6,87,Miami-Dade,6,573237.6583,2856290.1821
50,93004000,C,02,N/A,N/A,N/A,POWERLINE RD,62525,N/A,01,N/A,ON,3.588,4,93,Palm Beach,4,585230.990700001,2916796.2601
51,12070000,C,02,N/A,SR 82 / IMMOKALEE RD,LEE,SR 93/I-75 NB RAMP,376,N/A,01,N/A,ON,4.484,1,12,Lee,1,420218.085200001,2946196.0409
52,10005000,C,02,22-MAY-1985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,2.348,7,10,Hillsborough,7,360946.477700001,3096773.704
53,11002000,C,N/A,N/A,SR 44(DIXIE AV),LEESBURG,MAIN ST,N/A,02,N/A,N/A,ON,4.402,5,11,Lake,5,416387.6648,3187390.0266
54,60050000,C,02,N/A,N/A,CITY OF DEFUNIAK,LIVE OAK AVENUE,004,N/A,03,N/A,ON,15.941,3,60,Walton,3,9357.02929999959,3409748.5205
55,58010000,C,02,N/A,N/A,SANTA ROSA COUNTY,CARDINAL ST/WALMART,006,N/A,03,N/A,ON,6.672,3,58,Santa Rosa,3,-86992.4483999982,3401630.2307
56,93010000,C,02,N/A,N/A,N/A,E OCEAN AVE,46350,N/A,01,N/A,ON,14.269,4,93,Palm Beach,4,593848.9417,2934419.8771
57,48070000,C,02,N/A,N/A,ESCAMBIA COUNTY,I-10 EB OFF RAMP,017,N/A,01,N/A,ON,6.181,3,48,Escambia,3,-97587.7220999999,3390910.5353
58,10160000,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,3.829,7,10,Hillsborough,7,352168.5605,3103797.2119
59,10190380,L,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EXCLUSIVE,0.246,7,10,Hillsborough,7,391052.4561,3101807.0111
60,53030000,C,02,01-JUN-2022,N/A,FDOT OPT OUT,I-10 EB ON/OFF RAMP,N/A,N/A,01,N/A,ON,13.312,3,53,Jackson,3,80353.0971999997,3410297.0404
61,86100000,C,02,23-MAR-1987,N/A,N/A,ATLANTIC BLVD,1056,N/A,01,N/A,ON,18.132,4,86,Broward,4,579432.567000001,2901960.9863
62,76050000,C,N/A,01-AUG-1984,N/A,N/A,N/A,N/A,02,N/A,N/A,ON,23.715,2,76,Putnam,2,434553.2672,3279230.2501
63,87120000,C,03,N/A,N/A,MIAMI-DADE,N/A,7595,N/A,01,N/A,ON,15.825,6,87,Miami-Dade,6,577464.9105,2849941.8286
64,17040000,C,02,N/A,SR 780 / FRUITVILLE,SARASOTA,I-75 NB RAMP,940,N/A,01,N/A,ON,5.364,1,17,Sarasota,1,357034.209100001,3024736.1131
65,46020003,C,02,N/A,N/A,CITY OF PANAMA,LISENBY AVENUE,016,N/A,01,N/A,ON,1.136,3,46,Bay,3,48808.5266000014,3347488.2563
66,36100000,C,02,04-SEP-1996,SR 200,MARION COUNTY,SW 103RD ST RD,36103,N/A,03,02,ON,7.781,5,36,Marion,5,377037.468000001,3216744.7883
67,10290000,C,02,22-MAY-1985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,1.013,7,10,Hillsborough,7,358197.8743,3104071.0714
68,26260000,C,N/A,22-SEP-1988,N/A,N/A,N/A,N/A,02,N/A,N/A,ON,14.528,2,26,Alachua,2,362706.4327,3281887.4219
69,87080900,C,02,N/A,N/A,MIAMI-DADE,NW 32 AVE,2500,N/A,01,N/A,ON,35.939,6,87,Miami-Dade,6,575140.5556,2858808.5604
70,87140000,C,02,N/A,N/A,MIAMI-DADE,NW 15900 BLK,5900,N/A,01,N/A,ON,10.701,6,87,Miami-Dade,6,578911.3772,2867095.1776
71,87066000,C,02,N/A,N/A,MIAMI-DADE,NE 9 AV,3408,N/A,01,N/A,ON,1.897,6,87,Miami-Dade,6,582105.150999999,2863817.0817
72,70002000,C,N/A,N/A,SR 406(GARDEN ST),TITUSVILLE,WASHINGTON AVE,N/A,02,N/A,N/A,ON,2.949,5,70,Brevard,5,518816.2811,3165389.0004
73,15030000,C,02,17-AUG-1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,3.571,7,15,Pinellas,7,329814.516700001,3089119.9184
74,03010000,C,02,N/A,US 41/TAMIAMI TRAIL,COLLIER,BROWARD ST,110,N/A,01,N/A,ON,18.138,1,03,Collier,1,427442.258000001,2885011.122
75,52030000,C,N/A,N/A,N/A,N/A,N/A,N/A,01,N/A,N/A,ON,15.63,3,52,Holmes,3,56018.1073000012,3435121.151
76,76020000,C,02,12-NOV-2002,N/A,PUTNAM COUNTY,WALMART ENTRANCE,N/A,N/A,03,N/A,ON,20.11,2,76,Putnam,2,434021.4837,3278525.061
77,87012000,C,N/A,N/A,N/A,MIAMI-DADE,SR 860/NW 183 ST,3719,02,01,N/A,ON,0,6,87,Miami-Dade,6,572350.029400002,2869205.5291
78,50010000,C,02,N/A,N/A,CITY OF QUINCY,JACKSON STREET,004,N/A,03,N/A,ON,20.556,3,50,Gadsden,3,156734.056000001,3389415.1216
79,75010000,C,02,01-JAN-1950,SR500-600(US1792-441,ORANGE COUNTY,CR528(LANDSTREET RD),75072,N/A,01,N/A,ON,6.065,5,75,Orange,5,460386.5022,3145568.7071
80,12060000,C,02,N/A,SR 78 / PINE ISLAND,LEE,HANCOCK BRIDGE,352,N/A,03,02,ON,9.488,1,12,Lee,1,402663.070700001,2948090.2811
81,11200000,C,02,16-DEC-2004,SR 25(US 27),LAKE COUNTY,CAGAN CROSSING BL,11112,N/A,03,02,ON,0.613,5,11,Lake,5,433662.759300001,3136720.4262
82,93150000,C,02,N/A,N/A,N/A,NORTHLAKE BLVD,17300,N/A,03,02,ON,9.054,4,93,Palm Beach,4,588820.8558,2965611.3579
83,48013002,C,02,N/A,N/A,ESCAMBIA COUNTY,PLANTATION ROAD,156,N/A,01,N/A,ON,1.737,3,48,Escambia,3,-98034.7574999994,3390286.7332
84,70050000,C,02,01-JAN-1950,SR500(US192NEWHAVEN),BREVARD COUNTY,SHOPPES W MELBOURE,70134,N/A,01,N/A,ON,13.421,5,70,Brevard,5,534686.7857,3105977.8056
85,93210000,C,02,05-AUG-2009,N/A,N/A,PIONEER RD/VICTORIA,31200,N/A,01,N/A,ON,23.635,4,93,Palm Beach,4,579342.938700001,2950282.392
86,54030000,C,01,N/A,N/A,CITY OF MONTICELLO,PEARL STREET FB,002,N/A,03,N/A,ON,9.85,3,54,Jefferson,3,224654.419600001,3382859.963
87,86010000,C,02,01-JUN-1960,N/A,N/A,BROWARD BLVD,2023,N/A,01,N/A,ON,10.33,4,86,Broward,4,586257.129,2889528.3727
88,90010000,C,03,N/A,N/A,N/A,N/A,N/A,N/A,01,N/A,ON,3.517,6,90,Monroe,6,423256.549300001,2717782.1955
89,92090000,C,02,24-JAN-1990,SR530(US192-VINE ST),KISSIMMEE,EMORY AV,92069,N/A,03,02,ON,14.395,5,92,Osceola,5,458825.7556,3130998.8626
90,87001000,C,02,N/A,N/A,MIAMI-DADE,OFF RAMP TPKE NORTH,4401,N/A,01,N/A,ON,5.822,6,87,Miami-Dade,6,561535.1264,2841079.1145
91,72018000,C,02,10-FEB-1977,N/A,JACKSONVILLE,REGENCY DR,N/A,N/A,03,N/A,ON,6.632,2,72,Duval,2,436572.946700002,3366611.4809
92,11200000,C,02,15-DEC-2022,TRAFFICWARE/NATZEC,TRANSCORE,CRESTAVISTA AVE,11150,N/A,03,02,ON,8.146,5,11,Lake,5,429470.712800001,3148021.223
93,16293000,C,02,N/A,SR 549 / 1ST ST N,WINTER HAVEN,AVE O NW,818,N/A,01,N/A,ON,2.288,1,16,Polk,1,428565.469800001,3101490.2527
94,17010000,C,02,N/A,SR 45 /US 41/TAMIAMI,NORTH PORT,NORTH PORT BLVD,854,N/A,01,N/A,ON,2.05,1,17,Sarasota,1,377410.194300001,2991882.1145
95,08080000,C,02,N/A,N/A,HERNANDO COUNTY,N/A,N/A,N/A,N/A,N/A,ON,0,7,08,Hernando,7,363267.308900001,3158998.7499
96,10320151,C,N/A,28-SEP-1993,N/A,N/A,N/A,N/A,02,N/A,N/A,EXCLUSIVE,0.175,7,10,Hillsborough,7,357127.2503,3107782.7499
97,15061000,C,02,N/A,N/A,PINELLAS COUNTY,N/A,N/A,N/A,N/A,N/A,ON,6.447,7,15,Pinellas,7,329836.746699999,3086626.6122
98,92090000,C,02,04-APR-2002,SR530(US192-IBMH),OSCEOLA COUNTY,OLD LK WILSON RD,92048,N/A,01,N/A,ON,2.862,5,92,Osceola,5,442410.631400002,3134224.0226
99,87047000,C,02,N/A,N/A,MIAMI-DADE,NW 8 ST,4818,N/A,01,N/A,ON,9.087,6,87,Miami-Dade,6,566516.964400001,2851195.0458
100,16110000,C,02,12-MAY-1987,SR 60,LAKE WALES,3RD ST,711,N/A,03,02,N/A,30.374,1,16,Polk,1,442347.498200001,3085594.7041
101,87055000,C,02,N/A,N/A,MIAMI-DADE,SW 92 AVE,3560,N/A,03,02,ON,3.518,6,87,Miami-Dade,6,566002.073900001,2842838.0937
102,12075035,C,N/A,N/A,SR 93/I-75 NB OFF RA,LEE,SR 78,363,02,01,N/A,EXCLUSIVE,0.234,1,12,Lee,1,419509.500300001,2955109.7503
103,87044000,C,02,N/A,N/A,MIAMI-DADE,SR 826 NORTH,4062,N/A,03,02,ON,4.301,6,87,Miami-Dade,6,568479.905000001,2846282.405
104,77030000,C,02,16-AUG-2007,SR 46(1ST ST),SANFORD,CENTRAL PARK DR,77051,N/A,03,02,ON,6.243,5,77,Seminole,5,469027.947000001,3187136.7902
105,36070000,C,02,01-JAN-1950,SR500(US27-BLITCHTON,MARION COUNTY,NW 44TH AV,36073,N/A,03,02,ON,17.25,5,36,Marion,5,383954.432800001,3231923.2829
106,75280000,C,02,01-JUL-2009,SR 400 (I-4 WB OFF),CITY OF ORLANDO,ANDERSON STREET,75443,N/A,01,N/A,ON,17.408,5,75,Orange,5,462644.0613,3157068.0724
107,75180000,C,N/A,N/A,SR437-438OCOEEAPOPKA,OCOEE,SR 438(SILVER STAR),N/A,02,N/A,N/A,ON,0.106,5,75,Orange,5,446143.8046,3160864.6975
108,87055000,C,02,N/A,N/A,MIAMI-DADE,NB SR 826 RAMP,3781,N/A,01,N/A,ON,5.095,6,87,Miami-Dade,6,568535.7165,2842966.5931
109,01050000,C,02,11-JAN-2009,SR 776/MCCALL RD,CHARLOTTE,CR 771/GASPARILLA RD,52,N/A,01,N/A,ON,9.403,1,01,Charlotte,1,378672.1264,2979635.8521
110,36004000,C,N/A,N/A,SR 464(SW 17TH ST),OCALA,SR500(US441-PINE ST),N/A,02,N/A,N/A,ON,1.232,5,36,Marion,5,389135.461700002,3227539.6749
111,72100000,C,02,01-SEP-1985,N/A,JACKSONVILLE,ANNISTON RD,N/A,N/A,01,N/A,ON,6.799,2,72,Duval,2,447855.0994,3354643.2377
112,87150000,C,02,N/A,N/A,MIAMI-DADE,SW 192 ST,6990,N/A,01,N/A,ON,10.375,6,87,Miami-Dade,6,552383.201,2830041.5272
113,86006000,C,02,29-JUN-1974,N/A,N/A,W 11TH AVE,2082,N/A,03,02,ON,5.984,4,86,Broward,4,584354.316600001,2889465.934
114,90010000,C,02,N/A,N/A,N/A,OVERSEAS MARKET,N/A,N/A,01,N/A,ON,2.475,6,90,Monroe,6,421766.394400002,2717096.0855
115,72010000,C,02,12-DEC-1989,N/A,JACKSONVILLE,LAURA STREET,N/A,N/A,01,N/A,ON,21.628,2,72,Duval,2,436743.624,3355740.4912
116,87001000,C,02,21-DEC-2007,N/A,MIAMI-DADE,SW 167 AVE,6396,N/A,01,N/A,ON,1.127,6,87,Miami-Dade,6,553980.862700002,2840776.698
117,48050000,C,02,N/A,N/A,ESCAMBIA COUNTY,GULF BEACH HIGHWAY,114,N/A,01,N/A,ON,6.956,3,48,Escambia,3,-118243.3961,3371668.3806
118,11170000,C,N/A,N/A,SR 19,LAKE,CENTRAL AV,N/A,01,N/A,N/A,ON,12.465,5,11,Lake,5,424525.975,3176513.9484
119,36010000,C,02,01-JAN-1950,SR500(US27/301/441),OCALA,CR 475(SE 1ST AV),36048,N/A,03,02,ON,23.868,5,36,Marion,5,389584.073799999,3226757.4431
120,16170000,C,N/A,N/A,SR 25 / US 27,POLK,SR 700 / US 98,640,02,03,02,ON,6.869,1,16,Polk,1,443568.1409,3067830.6308
121,87030000,C,02,N/A,N/A,MIAMI-DADE,NE 107 ST,4517,N/A,01,N/A,ON,18.159,6,87,Miami-Dade,6,583040.6458,2861960.7385
122,55003000,C,02,N/A,N/A,CITY OF TALLAHASSEE,DICK WILSON,161,N/A,01,N/A,ON,5.861,3,55,Leon,3,190077.8947,3370977.2136
123,26010000,C,02,22-SEP-1988,N/A,CITY OF GAINESVILLE,SW 4TH AV/STADIUM DR,N/A,N/A,01,N/A,ON,13.96,2,26,Alachua,2,370366.361300001,3280587.4379
124,71050000,C,N/A,01-AUG-1984,N/A,N/A,N/A,N/A,02,N/A,N/A,ON,23.614,2,71,Clay,2,434513.718700002,3318091.5004
125,93180000,C,02,N/A,N/A,N/A,HAVERHILL RD,N/A,N/A,01,N/A,ON,5.17,4,93,Palm Beach,4,587456.810000001,2944508.5298
126,03010000,C,02,04-JAN-2001,US 41/TAMIAMI TRAIL,COLLIER,PRICE ST/TRIANGLE BL,111,N/A,01,N/A,ON,19.96,1,03,Collier,1,429676.337800001,2883144.4671
127,58030000,C,02,N/A,N/A,SANTA ROSA COUNTY,ANDORRA STREET,032,N/A,01,N/A,ON,19.089,3,58,Santa Rosa,3,-65272.6391999992,3377995.8801
128,94004000,C,02,01-JAN-1986,N/A,N/A,JOHNSTON RD,70,N/A,03,02,ON,1.563,4,94,St. Lucie,4,556164.3884,3044309.2768
129,75035000,C,02,01-JAN-1950,SR535(APOPKAVINELAND,ORANGE COUNTY,SR 400(I-4 WB RAMPS),75178,N/A,01,N/A,ON,0.126,5,75,Orange,5,450553.629400002,3139221.9391
130,86015000,C,02,26-APR-1976,N/A,N/A,SW 40 AVE,3046,N/A,03,02,ON,7.177,4,86,Broward,4,580069.263900001,2882886.0753
131,10330000,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,2.648,7,10,Hillsborough,7,362992.977900001,3098355.4658
132,10002031,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EXCLUSIVE,0.232,7,10,Hillsborough,7,362078.510300002,3092385.9848
133,75020000,C,02,21-SEP-2022,TS2-TYPE2 INTELIGHT,ORANGE COUNTY,LAKE BETTY BLVD,1809,N/A,01,N/A,ON,7.019,5,75,Orange,5,455592.666,3167864.9884
134,57518000,C,01,N/A,N/A,OKALOOSA COUNTY FWB,WOODLAND DRIVE  FB,021,N/A,04,N/A,OFF,6.048,3,57,Okaloosa,3,-20314.9445999991,3383863.0622
135,72014000,C,N/A,13-FEB-1991,N/A,JACKSONVILLE,SR 5/US1/PHILIPS HWY,N/A,02,03,N/A,ON,1.736,2,72,Duval,2,440518.028399999,3348428.8457
136,72030000,C,02,13-AUG-1986,N/A,JACKSONVILLE,PLYMOUTH ST/FCCJ ENT,N/A,N/A,01,N/A,ON,8.39,2,72,Duval,2,430804.6446,3352554.058
137,26250000,C,02,22-SEP-1988,N/A,CITY OF GAINESVILLE,SW 20TH AVENUE,N/A,N/A,03,N/A,ON,2.101,2,26,Alachua,2,367138.986100001,3279034.1359
138,75190001,C,02,27-NOV-1996,SR 423(JOHN YOUNG),ORANGE COUNTY,SR 408 WB RAMPS,75367,N/A,01,N/A,ON,39.344,5,75,Orange,5,459538.7051,3157456.5244
139,55090003,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF,3.278,3,55,Leon,3,182966.181800001,3371916.2475
140,18060000,C,02,01-MAR-2007,SR 48(W BELT AV),SUMTER COUNTY,CR 311 (N WEST ST),18018,N/A,03,02,ON,9.481,5,18,Sumter,5,390488.0344,3171782.7151
141,15120000,C,02,13-JUL-1981,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,6.32,7,15,Pinellas,7,326948.1279,3086745.6752
142,72040101,C,02,01-FEB-1989,N/A,JACKSONVILLE,N MARKET ST,N/A,N/A,01,N/A,ON,0.223,2,72,Duval,2,437269.895300001,3355692.2269
143,75080101,C,02,03-APR-1987,SR 15EB(ANDERSON ST),ORLANDO,CR526(CRYSTAL LK AV),75327,N/A,01,N/A,ON,2.072,5,75,Orange,5,466388.2783,3156847.957
144,91020000,C,02,N/A,SR 700/SR 15/US 441/,OKEECHOBEE CITY,SR 70 / SR 700 / US,995,N/A,01,N/A,ON,3.134,1,91,Okeechobee,1,516846.198900001,3013440.8757
145,36110000,C,02,17-JUN-1998,SR 40,MARION COUNTY,NW 80TH AV,36130,N/A,03,02,ON,19.94,5,36,Marion,5,378309.2896,3229293.1092
146,93280000,C,02,N/A,N/A,N/A,GOLDEN LAKES BLVD,27730,N/A,01,N/A,ON,2.161,4,93,Palm Beach,4,582976.1047,2954404.3025
147,87062000,C,02,N/A,N/A,MIAMI-DADE,SR 968/FLAGLER ST,2138,N/A,01,N/A,ON,4.57,6,87,Miami-Dade,6,571382.525100001,2850485.8807
148,16180000,C,02,16-JUL-2015,SR 25 / US 27,POLK,CITRUS RIDGE/MINUTEM,1490,N/A,03,02,ON,22.421,1,16,Polk,1,437220.4467,3120878.4423
149,72193000,C,02,02-APR-2008,N/A,CITY OF JACKSONVILLE,FT. CAROLINE W CONN.,N/A,N/A,01,N/A,ON,0.876,2,72,Duval,2,447823.308599999,3358032.7959
150,87053001,C,02,N/A,N/A,MIAMI-DADE,SW 13 AV,3803,N/A,01,N/A,ON,1.188,6,87,Miami-Dade,6,578602.374500002,2850721.5726
151,57030030,C,02,N/A,N/A,CITY OF DESTIN,CR 2387,007,N/A,01,N/A,ON,20.607,3,57,Okaloosa,3,-25100.1972999992,3374155.4026
152,38010000,C,01,01-OCT-1991,N/A,TAYLOR COUNTY,CR 361,N/A,N/A,N/A,N/A,ON,23.685,2,38,Taylor,2,253982.02,3327277.8586
153,87034000,C,02,N/A,N/A,MIAMI-DADE,NE 183 ST/MIAMI GARD,3238,N/A,01,N/A,ON,5.867,6,87,Miami-Dade,6,581225.999900001,2869452.2496
154,93180001,C,N/A,N/A,N/A,N/A,DIXIE HWY,N/A,02,01,N/A,ON,0.701,4,93,Palm Beach,4,593844.037,2944320.2705
155,87281000,C,02,N/A,N/A,MIAMI-DADE,SE 8 ST/NW 46 ST,2849,N/A,01,N/A,ON,6.153,6,87,Miami-Dade,6,573686.151400002,2855468.935
156,10130000,C,02,14-JUL-1983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,8.002,7,10,Hillsborough,7,351854.842300001,3091162.7806
157,29010000,C,N/A,27-NOV-1978,N/A,N/A,N/A,N/A,02,N/A,N/A,ON,9.159,2,29,Columbia,2,341031.429,3340714.1928
158,12010000,C,02,N/A,SR 45/US 41/ S TAMIA,LEE,ISLAND PARK RD,271,N/A,01,N/A,ON,13.807,1,12,Lee,1,414648.2554,2931656.4386
159,32010000,C,01,01-OCT-1985,N/A,HAMILTON COUNTY,SR 136/BRIDGE STREET,N/A,N/A,N/A,N/A,ON,1.273,2,32,Hamilton,2,330896.2721,3356641.7024
