FID,RDWYID,SIDE,VALUE_,EFFDATE,CNTLRDES,MAINTAGC,SDESTRET,SIGNALID,SIGNALNC,SIGSTRCT,TYPECABL,SEC_STAT,BEGPT,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,x,y
3416,93180000,C,04,N/A,N/A,N/A,EMERGENCY/WB ONLY,N/A,N/A,01,N/A,ON,2.988,4,93,Palm Beach,4,583967.371600001,2944354.666
3417,03010000,C,02,N/A,US 41/TAMIAMI TRAIL,NAPLES,10TH ST S,98,N/A,01,N/A,ON,12.153,1,03,Collier,1,420707.360500001,2891649.4046
3418,75050000,C,02,16-AUG-1999,SR 50(COLONIAL DR),ORANGE COUNTY,SR 429 NB RAMPS,75240,N/A,01,N/A,ON,6.102,5,75,Orange,5,445415.3673,3158407.3378
3419,94003000,C,02,09-JAN-2008,N/A,N/A,ST LUCIE BLVD,13,N/A,01,N/A,ON,4.947,4,94,St. Lucie,4,559397.899100001,3040248.005
3420,93001000,C,02,N/A,N/A,N/A,LAKE VICTORIA,N/A,N/A,01,N/A,ON,6.739,4,93,Palm Beach,4,590226.237900002,2969525.2991
3421,75200000,C,04,22-JUN-1999,SR 551(GOLDENROD RD),ORANGE COUNTY,OC FIRE STATION 63,75379,N/A,01,N/A,ON,7.289,5,75,Orange,5,472012.681900002,3161570.5222
3422,10320153,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EXCLUSIVE,0.153,7,10,Hillsborough,7,357093.2576,3108059.4439
3423,10020000,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,0.11,7,10,Hillsborough,7,356595.770100001,3092458.8994
3424,87090000,C,02,N/A,N/A,MIAMI-DADE,NW 14 AV,4805,N/A,01,N/A,ON,17.773,6,87,Miami-Dade,6,578239.1235,2854840.1221
3425,26090000,C,02,30-JUN-2004,N/A,ALACHUA COUNTY,122ND STREET,N/A,N/A,01,N/A,ON,6.673,2,26,Alachua,2,357743.009300001,3272155.8572
3426,72012000,C,02,13-NOV-1990,N/A,JACKSONVILLE,GRACE LANE,N/A,N/A,03,N/A,ON,2.784,2,72,Duval,2,427703.4119,3353315.7002
3427,10190086,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EXCLUSIVE,0.324,7,10,Hillsborough,7,364042.602100001,3095907.3868
3428,93040000,C,02,N/A,N/A,N/A,COASTAL WAY,4000,N/A,01,N/A,ON,9.953,4,93,Palm Beach,4,591147.536800001,2979664.9666
3429,87040102,C,02,N/A,N/A,MIAMI-DADE,NW 3 ST,3399,N/A,01,N/A,ON,0.337,6,87,Miami-Dade,6,580206.1413,2851214.976
3430,52030000,C,02,N/A,N/A,CITY OF BONIFAY,CR 177A/CR 173,003,N/A,03,N/A,ON,4.07,3,52,Holmes,3,52169.9728000006,3417091.6208
3431,86100000,C,02,21-OCT-1986,N/A,N/A,NW 21 ST,2324,N/A,01,N/A,ON,12.475,4,86,Broward,4,579677.776,2892860.6001
3432,14090000,C,02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OFF,18.304,7,14,Pasco,7,380944.465900001,3123271.49
3433,72050000,C,02,01-SEP-1972,N/A,JACKSONVILLE,FIRST ST,N/A,N/A,01,N/A,ON,9.087,2,72,Duval,2,437043.3963,3356242.9604
3434,92010000,C,02,01-JUL-2004,SR500(US441/1792-OBT,OSCEOLA COUNTY,OSCEOLA SCHOOL_ARTS,92011,N/A,03,02,ON,14.322,5,92,Osceola,5,460435.032900001,3135124.901
3435,29620101,C,N/A,N/A,N/A,N/A,N/A,N/A,02,N/A,N/A,OFF,0.117,2,29,Columbia,2,341701.3395,3338089.5272
3436,13150101,C,02,N/A,SR 64 WB / MANATEE A,BRADENTON,14TH ST W,519,N/A,01,N/A,ON,0.198,1,13,Manatee,1,344396.260500001,3042300.9754
3437,87053001,C,04,N/A,N/A,MIAMI-DADE,N/A,5007,N/A,01,N/A,ON,2.127,6,87,Miami-Dade,6,580103.4022,2850782.1958
3438,77080000,C,02,14-APR-1992,SR 436,CASSELBERRY,CASSLETON DR,77136,N/A,03,02,ON,11.476,5,77,Seminole,5,469735.724400001,3165031.2694
3439,70012000,C,02,01-JAN-1950,SR 507(BABCOCK ST),MELBOURNE,FLOIDA AV,70049,N/A,03,02,ON,4.033,5,70,Brevard,5,537205.7852,3103571.7435
3440,75200000,C,N/A,N/A,SR 551(GOLDENROD RD),ORLANDO,SR 15(HOFFNER AV),N/A,02,N/A,N/A,ON,0,5,75,Orange,5,472059.8348,3150080.9828
