FID,ROADWAY,ACCESS_CLA,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Length
261,93130000,04,4,93,Palm Beach,4,12.774,13.644,1400.1256,1400.12561286351
262,87090000,06,6,87,Miami-Dade,6,13.546,14.998,2338.6861,2338.68608125555
263,61001000,01,3,61,Washington,3,0,5.825,9392.0915,9392.09151776339
264,26110000,04,2,26,Alachua,2,8.214,13.757,8930.66,8930.66003886496
265,10030101,07,7,10,Hillsborough,7,0,1.782,2857.6986,2857.69864231559
266,72292000,01,2,72,Duval,2,0.51,13.022,20135.0525,20135.0524945282
267,76050000,07,2,76,Putnam,2,24.554,26.32,2841.0184,2841.01844498747
268,57040027,05,3,57,Okaloosa,3,1.302,2.059,1220.5447,1220.54469595874
269,79140000,03,5,79,Volusia,5,0,5.436,8758.9605,8758.96048898641
270,54010000,04,3,54,Jefferson,3,0,0.63,1014.2777,1014.27774385565
271,60010000,03,3,60,Walton,3,14.833,16.716,3039.4109,3039.41086004274
272,48010000,06,3,48,Escambia,3,7.531,10.527,4844.6926,4844.69261883593
273,88060001,07,4,88,Indian River,4,0,1.364,2195.4373,2195.43726822519
274,75320000,01,5,75,Orange,5,38.132,40,3007.0539,3007.0539363137
275,10471000,01,7,10,Hillsborough,8,0,3.021,4850.1464,4850.14641295324
276,87053000,05,6,87,Miami-Dade,6,0,0.988,1591.8746,1591.87463113358
277,16160501,03,1,16,Polk,1,0,0.47,770.2308,770.230824678758
278,72018000,05,2,72,Duval,2,6.768,7.567,1287.4966,1287.49655517892
279,32010000,04,2,32,Hamilton,2,19.823,30.577,17305.6167,17305.6166721934
280,93080000,06,4,93,Palm Beach,4,1.252,3.698,3924.87,3924.86996138199
281,03010000,05,1,03,Collier,1,12.038,15.797,6047.0785,6047.07848687964
282,72170000,05,2,72,Duval,2,0,4.112,6613.9709,6613.97086193333
283,91470000,01,1,91,Okeechobee,8,0,7.472,12031.4981,12031.4981481418
284,72130000,07,2,72,Duval,2,0,0.217,351.1094,351.109403341314
285,10270006,07,7,10,Hillsborough,7,0.217,0.275,98.1926,98.1925594444884
286,12020000,07,1,12,Lee,1,0,0.168,270.6456,270.645616324648
287,17040401,05,1,17,Sarasota,1,0,0.325,522.3584,522.358394058504
288,75039001,01,5,75,Orange,5,0,1.383,2218.9021,2218.90209346786
289,48003000,06,3,48,Escambia,3,6.048,7.281,1994.1212,1994.12120620634
290,77070001,03,5,77,Seminole,5,0,0.355,569.651,569.651002214396
291,87240000,02,6,87,Miami-Dade,6,11.003,13.69,4316.2882,4316.2881524437
292,70220000,01,5,70,Brevard,5,0,41.517,66816.4083,66816.4083448226
293,16090000,06,1,16,Polk,1,4.202,6.007,2904.8795,2904.87945376182
294,29020000,04,2,29,Columbia,2,0,4.207,6769.4486,6769.44862100359
295,16120000,06,1,16,Polk,1,1.38,7.125,9225.4499,9225.44994188483
296,16590000,04,1,16,Polk,1,20.766,22.15,2225.874,2225.87401253361
297,35070000,04,2,35,Madison,2,12.554,16.057,5640.5748,5640.57481608236
298,93020000,06,4,93,Palm Beach,4,9.242,12.127,4643.3329,4643.33293342926
299,47020000,04,3,47,Calhoun,3,0,19.949,32162.0395,32162.0395201457
300,26050000,06,2,26,Alachua,2,3.365,3.951,942.5503,942.550346407964
301,72090200,01,2,72,Duval,2,0,0.41,659.633,659.632963047274
302,10120000,03,7,10,Hillsborough,7,6.063,23.381,27856.0269,27856.0269308756
303,12010000,05,1,12,Lee,1,0,20.496,32994.3,32994.2999731636
304,53060000,04,3,53,Jackson,3,0,8.101,13062.0121,13062.0121280408
305,07030000,03,1,07,Hendry,1,4.192,13.213,14514.7658,14514.7658487385
306,02010000,06,7,02,Citrus,7,12.198,12.502,488.8015,488.801525607124
307,75200000,03,5,75,Orange,5,8.94,9.4,740.2248,740.224829963953
308,53030000,03,3,53,Jackson,3,0,0.586,944.6739,944.673944679281
309,10002000,01,7,10,Hillsborough,7,0.085,14.217,22767.3741,22767.3740812332
310,87066000,07,6,87,Miami-Dade,6,0,3.741,6030.0045,6030.00447105608
311,90050000,06,6,90,Monroe,6,13.336,14.072,1184.0855,1184.08550148409
312,05010000,03,1,05,Glades,1,0,4.842,7795.9574,7795.95740466724
313,02040000,03,7,02,Citrus,7,0.137,6.681,10478.0657,10478.0656772504
314,55060000,05,3,55,Leon,3,3.294,6.217,4707.5006,4707.5006184164
315,87190000,06,6,87,Miami-Dade,6,0.597,3.767,5111.3872,5111.38719476821
316,08050000,04,7,08,Hernando,7,10.312,11.096,1261.4999,1261.49994013564
317,26090000,06,2,26,Alachua,2,2.254,2.83,926.685,926.685015583147
318,70012000,05,5,70,Brevard,5,0,5.528,8882.7005,8882.70051210073
319,72300000,06,2,72,Duval,2,0,0.385,624.1083,624.108348761716
320,57010000,06,3,57,Okaloosa,3,13.258,16.416,5100.8427,5100.84268174838
321,34050000,05,2,34,Levy,2,35.061,35.637,926.4532,926.45316313679
322,53130000,06,3,53,Jackson,3,7.372,8.951,2544.4312,2544.43123601347
323,93001000,05,4,93,Palm Beach,4,6.758,8.636,3022.188,3022.18804124313
324,48205000,04,3,48,Escambia,3,10.031,12.087,3321.5494,3321.549425098
