FID,ROADWAY,ACCESS_CLA,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Length
690,79060000,05,5,79,Volusia,5,0,2.638,4244.0841,4244.0840993083
691,48004000,04,3,48,Escambia,3,0,3.01,4865.419,4865.41904512908
692,28010000,03,2,28,Bradford,2,15.769,20.227,7172.8949,7172.89492446966
693,06010102,04,1,06,Hardee,1,0,3.539,5679.4406,5679.44057913118
694,79080000,07,5,79,Volusia,5,1.059,1.407,559.6245,559.624490747632
695,16030000,03,1,16,Polk,1,18.423,24.929,10482.6899,10482.6899419926
696,16070000,05,1,16,Polk,1,3.678,5.49,2913.1206,2913.12060738338
697,76010000,06,2,76,Putnam,2,3.926,8.195,6863.7688,6863.7688246271
698,26250000,06,2,26,Alachua,2,3.225,8.043,7736.787,7736.78698297462
699,16180000,05,1,16,Polk,1,15.628,16.607,1577.3868,1577.38684530839
700,35010000,06,2,35,Madison,2,18.672,21.304,4236.9443,4236.94427774724
701,58010000,03,3,58,Santa Rosa,3,0.151,3.913,6078.8863,6078.8862555286
702,72003001,02,2,72,Duval,2,0,0.15,244.8396,244.83963358494
703,26040000,06,2,26,Alachua,2,1.083,1.707,1004.3622,1004.36220242957
704,10160000,07,7,10,Hillsborough,7,0,2.045,3290.3189,3290.31892903438
705,12011000,06,1,12,Lee,1,8.906,9.61,1129.2893,1129.28930438687
706,87002000,03,6,87,Miami-Dade,6,4.754,9.699,7961.6544,7961.654389454
707,01010000,03,1,01,Charlotte,1,21.887,25.946,6528.4331,6528.43306989531
708,75250000,05,5,75,Orange,5,3.082,9.01,9535.9695,9535.96947204895
709,53030035,03,3,53,Jackson,3,0.708,4.979,6872.3689,6872.36887000144
710,09040000,06,1,09,Highlands,1,1.095,2.893,2896.8682,2896.86819482932
711,87055000,05,6,87,Miami-Dade,6,5.8,6.788,1589.4539,1589.4539128079
712,87281000,03,6,87,Miami-Dade,6,10.707,11.735,1652.0898,1652.08984981131
713,55150000,04,3,55,Leon,3,0,0.111,178.7253,178.725257449569
714,87133000,05,6,87,Miami-Dade,6,1.547,2.544,1608.5296,1608.52958134993
715,08150000,01,7,08,Hernando,7,0,11.468,18459.4625,18459.4624537685
716,26080000,05,2,26,Alachua,2,0,3.655,5871.316,5871.31599192369
717,70010000,06,5,70,Brevard,5,16.056,17.198,1837.4368,1837.43677778557
718,12060000,03,1,12,Lee,1,21.415,21.734,513.6278,513.627846033982
719,57030000,03,3,57,Okaloosa,3,12.251,17.522,8511.6442,8511.64417046914
720,30010000,03,2,30,Dixie,2,17.82,25.29,12025.3881,12025.3880686935
721,54110000,03,3,54,Jefferson,3,0,7.412,11926.3478,11926.3477670204
722,60020000,03,3,60,Walton,3,3.025,26.636,38115.9431,38115.9430706599
723,48080060,07,3,48,Escambia,3,0.28,2.491,3581.6369,3581.63689241949
724,88003000,07,4,88,Indian River,4,0,1.978,3183.9923,3183.99228179984
725,70060000,06,5,70,Brevard,5,30.296,33.999,5961.7871,5961.78706860447
726,13030000,03,1,13,Manatee,1,2.225,9.782,12135.3839,12135.3838577867
727,79040101,03,5,79,Volusia,5,0,0.411,658.9642,658.96421368366
728,75060000,03,5,75,Orange,5,9.455,29.005,31422.5342,31422.5342276483
729,89090000,04,4,89,Martin,4,6.164,11.154,8034.1995,8034.19945727926
730,55010000,03,3,55,Leon,3,0,4.9,7874.1315,7874.13148720773
731,93110000,05,4,93,Palm Beach,4,2.995,3.998,1614.237,1614.23700887818
732,03080000,07,1,03,Collier,1,36.243,37.934,2720.6847,2720.6847090743
733,58170000,04,3,58,Santa Rosa,3,5.528,10.956,8772.008,8772.00799846019
734,93170000,07,4,93,Palm Beach,4,0,0.54,868.8617,868.861738469647
735,10005000,07,7,10,Hillsborough,7,0,2.845,4575.9979,4575.99785599414
736,13060000,04,1,13,Manatee,1,0,23.215,37417.639,37417.6389831645
737,09040000,06,1,09,Highlands,1,0,0.491,791.0266,791.026613404405
738,17050000,05,1,17,Sarasota,1,2.189,5.89,5970.4874,5970.48738836818
739,79150000,07,5,79,Volusia,5,0,0.435,695.8217,695.821713724682
740,75016000,07,5,75,Orange,5,4.444,5.159,1150.9781,1150.97805774521
741,78060000,03,2,78,St. Johns,2,14.424,19.421,8047.063,8047.06297949015
742,48060000,06,3,48,Escambia,3,16.694,20.075,5464.7878,5464.78780817054
743,26010000,05,2,26,Alachua,2,15.721,17.471,2816.8124,2816.81240250049
744,87260000,01,6,87,Miami-Dade,6,0,24.708,39676.8726,39676.8726175069
745,71100000,03,2,71,Clay,2,0,3.001,4846.5757,4846.57565953
746,16090000,04,1,16,Polk,1,12.185,18.624,10362.4348,10362.4348311637
747,29070000,06,2,29,Columbia,2,0.061,3.031,4777.726,4777.72600350339
748,16118000,06,1,16,Polk,1,0,0.609,979.0066,979.006584941885
749,89010000,03,4,89,Martin,4,0,16.194,26063.0571,26063.0570668225
750,93020500,06,4,93,Palm Beach,4,0,0.59,948.3228,948.322813655709
751,72003000,02,2,72,Duval,2,0.018,1.477,2349.6489,2349.64885739439
752,70470000,01,5,70,Brevard,8,0,9.956,16017.0325,16017.0325319182
753,72120201,04,2,72,Duval,2,0,0.373,611.6805,611.680468122378
754,70120000,03,5,70,Brevard,5,0,0.506,814.5497,814.549709842089
755,13040000,05,1,13,Manatee,1,7.754,8.574,1314.1037,1314.10374938193
756,87008000,06,6,87,Miami-Dade,6,7.682,10.253,4143.1104,4143.11042719977
757,18030000,04,5,18,Sumter,5,0,17.962,28897.7367,28897.7366622587
758,87037001,05,6,87,Miami-Dade,6,0,0.408,652.8303,652.830281095531
759,86210000,06,4,86,Broward,4,0,4.033,6497.565,6497.56503927083
760,77070003,03,5,77,Seminole,5,0,0.855,1384.5908,1384.59079823953
761,07010000,06,1,07,Hendry,1,8.068,10.388,3732.4889,3732.48887925235
762,79070001,07,5,79,Volusia,5,0,0.934,1521.2519,1521.25193595444
763,16010000,03,1,16,Polk,1,0,2.29,3681.3392,3681.3392048988
764,75250001,03,5,75,Orange,5,0,0.226,363.5368,363.536781744122
765,75080101,07,5,75,Orange,5,0,0.806,1298.8313,1298.83125091685
766,16060000,02,1,16,Polk,1,5.489,5.678,304.2532,304.253188641349
767,76020000,05,2,76,Putnam,2,21.935,22.964,1656.1407,1656.14066916652
768,78020000,03,2,78,St. Johns,2,1.776,16.041,22966.9274,22966.9273687048
769,70060000,06,5,70,Brevard,5,11.921,27.154,24524.7241,24524.7241337386
770,86170000,06,4,86,Broward,4,2.338,5.144,4515.7528,4515.75277059894
771,60030000,03,3,60,Walton,3,0,15.357,24787.9678,24787.9678066022
772,48010000,03,3,48,Escambia,3,15.115,16.322,1951.7953,1951.79528302458
773,26010000,05,2,26,Alachua,2,11.639,13.135,2407.9963,2407.99626863264
774,75260000,07,5,75,Orange,5,0.8,1.517,1153.8543,1153.85427995934
775,71040000,04,2,71,Clay,2,1.237,5.304,6543.5741,6543.57412980926
776,29070000,04,2,29,Columbia,2,5.766,32.016,42227.7748,42227.7748268932
777,16121000,05,1,16,Polk,1,0,0.627,1011.7812,1011.78120940663
778,32070000,06,2,32,Hamilton,2,11.31,11.669,577.7358,577.735771623085
779,72090161,06,2,72,Duval,2,0,1.089,1764.2079,1764.20789876015
780,72190301,07,2,72,Duval,2,0,0.595,968.835,968.835011325733
781,33040000,04,2,33,Lafayette,2,19.451,22.467,4852.5769,4852.57685074547
782,72100000,03,2,72,Duval,2,8.378,14.231,9427.3171,9427.31708748171
783,70470100,01,5,70,Brevard,8,0,0.908,1461.6835,1461.683483894
784,13050000,03,1,13,Manatee,1,22.134,39.483,27906.3735,27906.3735354098
785,17120000,07,1,17,Sarasota,1,0,1.644,2623.8885,2623.88846315939
786,87030000,07,6,87,Miami-Dade,6,10.221,20.866,17132.4816,17132.4815658928
787,48005000,06,3,48,Escambia,3,0,1.182,1917.049,1917.04895190098
788,27010000,06,2,27,Baker,2,18.504,19.099,957.1456,957.145577257347
789,05010000,05,1,05,Glades,1,4.842,6.214,2209.0392,2209.03917697282
790,79070000,04,5,79,Volusia,5,6.372,7.817,2319.8803,2319.88034966047
791,02100000,03,7,02,Citrus,7,0,3.382,5445.1145,5445.11450142852
792,56010002,04,3,56,Liberty,3,0,0.292,464.5293,464.529301100999
793,16030000,05,1,16,Polk,1,15.9,17.918,3251.4845,3251.48450059354
794,76030000,05,2,76,Putnam,2,0,1.098,1762.0687,1762.06872201825
795,78030001,06,2,78,St. Johns,2,0,1.032,1650.8728,1650.87277345853
796,16180000,02,1,16,Polk,1,23.253,24.606,2180.0043,2180.0042782283
797,75474000,01,5,75,Orange,8,0,0.759,1222.722,1222.72195372813
798,35050000,06,2,35,Madison,2,12.621,12.957,541.0386,541.038642130045
799,93280001,06,4,93,Palm Beach,4,0,0.522,846.4666,846.466594650174
800,47030000,06,3,47,Calhoun,3,0,0.443,713.4751,713.475077730852
801,26030000,06,2,26,Alachua,2,25.215,26.418,1935.0857,1935.08570884383
802,10130000,05,7,10,Hillsborough,7,10.033,12.024,3208.4124,3208.41239022891
803,13050000,04,1,13,Manatee,1,7.389,11.393,6440.4869,6440.48687530866
804,87002000,06,6,87,Miami-Dade,6,3.558,4.754,1925.6585,1925.65847222476
805,01010000,05,1,01,Charlotte,1,15.214,17.15,3113.8688,3113.86879326024
806,75090000,07,5,75,Orange,5,0,2.939,4727.6448,4727.64480823761
807,53030000,03,3,53,Jackson,3,17.076,20.217,5063.6715,5063.67153784464
808,77040000,03,5,77,Seminole,5,1.022,5.295,6869.6023,6869.60232699915
809,87075704,07,6,87,Miami-Dade,6,0,0.811,1293.9195,1293.9195395078
810,90060000,05,6,90,Monroe,6,19.374,22.643,5260.8336,5260.8335954766
811,55070001,04,3,55,Leon,3,0,0.656,1061.2163,1061.2163060662
812,87110000,04,6,87,Miami-Dade,6,0,25.715,41380.5239,41380.5239294965
813,08010000,04,7,08,Hernando,7,10.078,18.875,14179.315,14179.3149982493
814,26100000,04,2,26,Alachua,2,0,9.497,15295.1993,15295.1992619064
815,10070000,05,7,10,Hillsborough,7,2.02,3.538,2444.8324,2444.83239268353
816,72292000,03,2,72,Duval,2,0,0.51,820.674,820.673968615974
817,57060000,03,3,57,Okaloosa,3,2.424,14.907,20148.4168,20148.4168340124
818,34070000,06,2,34,Levy,2,0,1.6,2572.0263,2572.02628862986
819,53120000,04,3,53,Jackson,3,16.786,21.173,7062.9106,7062.91063925131
820,58002117,01,3,58,Santa Rosa,3,0,0.196,321.4215,321.421491959823
821,48100003,05,3,48,Escambia,3,0,0.636,1026.1036,1026.10360782939
822,88004000,04,4,88,Indian River,4,0,2.018,3244.3466,3244.34662752124
823,10080101,07,7,10,Hillsborough,7,0,0.607,987.0584,987.05835616333
824,13010000,07,1,13,Manatee,1,8.878,9.498,1006.1827,1006.1827426955
825,79040000,07,5,79,Volusia,5,12.345,14.345,3219.226,3219.2259765928
826,87044000,07,6,87,Miami-Dade,6,7.607,8.466,1378.1747,1378.17474370513
827,32010000,06,2,32,Hamilton,2,0,2.475,3982.8982,3982.89821508913
828,04060101,04,1,04,Desoto,1,0,0.442,712.3564,712.356357149409
829,72090164,06,2,72,Duval,2,0,0.882,1419.3948,1419.39477148008
830,03080000,04,1,03,Collier,1,16.509,17.44,1498.0086,1498.0086222076
831,59010000,04,3,59,Wakulla,3,0,9.337,15018.8965,15018.8964833817
832,72140001,03,2,72,Duval,2,0,0.183,288.1403,288.140337039556
833,10250000,07,7,10,Hillsborough,7,6.623,6.845,357.0287,357.028715506074
834,12020000,03,1,12,Lee,1,10.741,20.34,15465.3149,15465.3149077702
835,09010000,05,1,09,Highlands,1,16.462,19.15,4325.6807,4325.68071337488
836,17040000,03,1,17,Sarasota,1,1.195,5.692,7241.5892,7241.58922742806
837,79220000,06,5,79,Volusia,5,0,2.37,3806.956,3806.95603279617
838,75040000,07,5,75,Orange,5,18.125,18.455,531.0781,531.078119011507
839,48004000,07,3,48,Escambia,3,8.311,9.649,2162.7302,2162.73023890053
840,28020000,04,2,28,Bradford,2,12.465,22.169,15601.1785,15601.1784739236
841,75250003,05,5,75,Orange,5,0,0.524,839.1986,839.198579514168
842,71070000,03,2,71,Clay,2,2.881,8.267,8665.3056,8665.30561071601
843,16040000,04,1,16,Polk,1,1.037,15.064,22596.7638,22596.7638322098
844,78060000,03,2,78,St. Johns,2,7.974,9.478,2422.1832,2422.18318984374
845,16110000,03,1,16,Polk,1,6.514,12.635,9846.5523,9846.55227011105
846,35040000,06,2,35,Madison,2,0,0.363,584.4014,584.401418575713
847,93020000,07,4,93,Palm Beach,4,5.776,6.784,1622.3691,1622.36913796674
848,72001000,01,2,72,Duval,2,0.733,35.511,55915.1603,55915.1603405756
849,91060000,04,1,91,Okeechobee,1,0,9.856,15848.3821,15848.3820838412
850,72100000,06,2,72,Duval,2,6.526,8.378,2983.0067,2983.00673877191
851,70120000,04,5,70,Brevard,5,0.923,2.258,2148.8743,2148.87430578864
852,12005000,03,1,12,Lee,1,5.286,6.46,1888.5623,1888.56226584808
853,87006000,01,6,87,Miami-Dade,6,0,0.563,909.0914,909.09141911533
854,07030000,04,1,07,Hendry,1,2.317,3.518,1932.4038,1932.40379849084
855,02010001,03,7,02,Citrus,7,0,0.066,104.6662,104.666192214954
856,87030001,07,6,87,Miami-Dade,6,0,0.286,463.3192,463.319163115478
857,86120000,05,4,86,Broward,4,0,6.269,10081.8722,10081.8721603062
858,77070002,03,5,77,Seminole,5,0,2.02,3253.9428,3253.942781839
859,87080900,06,6,87,Miami-Dade,6,33.691,34.192,805.7927,805.792707554898
860,07060000,06,1,07,Hendry,1,15.922,16.944,1645.7832,1645.78321367183
861,06080000,04,1,06,Hardee,1,0,0.071,114.1962,114.196237811826
862,79070000,03,5,79,Volusia,5,29.23,30.504,2045.3447,2045.34467735261
863,16006100,03,1,16,Polk,1,0,0.054,88.4895,88.4894705462714
864,55080000,03,3,55,Leon,3,5.027,12.732,12395.8764,12395.8764345152
865,75080000,06,5,75,Orange,5,19.01,19.901,1433.9299,1433.92986794766
866,08070000,03,7,08,Hernando,7,0,5.25,8447.9006,8447.90055637355
867,78010026,07,2,78,St. Johns,2,0,0.216,354.2096,354.209603471748
868,70050000,07,5,70,Brevard,5,15.244,16.33,1747.3524,1747.35241022876
869,12090000,04,1,12,Lee,1,0,4.684,7546.2357,7546.23572196262
870,16250000,07,1,16,Polk,1,27.428,28.647,1961.8245,1961.82451991578
871,57150005,03,3,57,Okaloosa,3,0,0.685,1141.9662,1141.96616948875
872,34110000,04,2,34,Levy,2,12.607,18.578,9606.2108,9606.21082091227
873,75006000,07,5,75,Orange,5,0,1.609,2590.1992,2590.19924795296
874,93005000,05,4,93,Palm Beach,4,1.966,2.78,1310.4482,1310.44824728719
875,48205000,06,3,48,Escambia,3,12.087,12.654,916.1144,916.114363941505
876,26050000,05,2,26,Alachua,2,3.951,6.005,3303.611,3303.6109563057
877,10340000,07,7,10,Hillsborough,7,0,8.084,13009.5965,13009.5965048747
878,72220000,05,2,72,Duval,2,3.4,7.787,7051.8742,7051.87419513294
879,75140000,03,5,75,Orange,5,0,18.144,29183.6911,29183.6911227748
880,53030000,03,3,53,Jackson,3,9.833,15.693,9447.0314,9447.03142772551
881,77070000,06,5,77,Seminole,5,8.999,9.465,753.7517,753.751677101093
882,87075702,07,6,87,Miami-Dade,6,0,0.408,650.3115,650.311456085303
883,89040000,06,4,89,Martin,4,8.13,8.63,804.9009,804.900922632394
884,90020000,04,6,90,Monroe,6,6.469,24.894,29600.505,29600.5050235376
885,04020101,06,1,04,Desoto,1,0,1.736,2795.5506,2795.55057082831
886,93121000,04,4,93,Palm Beach,4,0,1.054,1702.0237,1702.0236820139
887,87140001,05,6,87,Miami-Dade,6,0,0.965,1554.7868,1554.7868231419
888,61010000,04,3,61,Washington,3,13.33,16.357,4889.8268,4889.82680833869
889,26130000,05,2,26,Alachua,2,0,2.818,4536.7898,4536.7897776098
890,10060000,05,7,10,Hillsborough,7,6.379,9.192,4523.0705,4523.07049945648
891,13130403,05,1,13,Manatee,1,0,0.403,653.3907,653.390687535605
892,76060000,03,2,76,Putnam,2,0,6.668,10718.722,10718.7219798756
893,57040028,04,3,57,Okaloosa,3,0,0.097,159.0965,159.096460119887
894,34010000,03,2,34,Levy,2,0.294,6.76,10412.9144,10412.9144183134
895,53120000,04,3,53,Jackson,3,0,15.22,24503.8015,24503.8014886525
896,77170000,03,5,77,Seminole,5,0,3.614,5827.7664,5827.76642418078
897,48070101,06,3,48,Escambia,3,0.063,2.405,3783.0817,3783.08172954722
898,88070000,06,4,88,Indian River,4,6.314,8.721,3873.7704,3873.77042600615
899,16180000,02,1,16,Polk,1,8.174,9.193,1641.8649,1641.86487732555
900,57150002,03,3,57,Okaloosa,3,0,0.572,922.7663,922.766270845423
901,35050000,04,2,35,Madison,2,12.957,19.356,10304.3379,10304.3379082905
902,58030000,05,3,58,Santa Rosa,3,0,4.417,7139.5708,7139.57075988782
903,48100001,05,3,48,Escambia,3,0,1.296,2089.9978,2089.99781008799
904,26020000,06,2,26,Alachua,2,1.256,1.888,1018.3481,1018.34812322619
905,10110000,05,7,10,Hillsborough,7,2.101,6.686,7385.2731,7385.27313171882
906,72193000,05,2,72,Duval,2,8.064,9.026,1548.378,1548.37797627806
907,87008000,06,6,87,Miami-Dade,6,0,2.045,3295.4427,3295.44270832482
908,01040000,03,1,01,Charlotte,1,1.532,2.332,1288.411,1288.41099082333
909,79050000,04,5,79,Volusia,5,5.996,25.873,31990.1196,31990.1195661426
910,53020000,06,3,53,Jackson,3,18.819,19.58,1226.3225,1226.32254729765
911,09040000,06,1,09,Highlands,1,5.149,5.877,1172.8501,1172.85014294739
912,87061000,02,6,87,Miami-Dade,6,0,0.826,1322.8191,1322.81913341003
913,90030000,06,6,90,Monroe,6,16.09,16.872,1253.7266,1253.72658408459
914,55120000,06,3,55,Leon,3,7.089,7.498,658.4985,658.4984724775
915,93120000,03,4,93,Palm Beach,4,0,0.228,366.1803,366.18025512555
916,87133000,03,6,87,Miami-Dade,6,0,1.547,2495.8637,2495.86366373789
917,76010000,03,2,76,Putnam,2,17.256,19.818,4119.146,4119.14595274925
918,26110101,06,2,26,Alachua,2,0,0.16,251.4775,251.47752522808
919,70002000,05,5,70,Brevard,5,0,2.265,3640.3101,3640.31011622306
920,13150000,06,1,13,Manatee,1,0,4.088,6579.2457,6579.24570504924
921,57050000,05,3,57,Okaloosa,3,15.699,17.394,2737.2096,2737.20956777822
922,30010000,03,2,30,Dixie,2,25.9,29.216,5338.1932,5338.19319423593
923,54040000,04,3,54,Jefferson,3,0,6.002,9652.9905,9652.99054578247
924,60090000,04,3,60,Walton,3,0,6.747,10883.422,10883.4219773215
925,48040000,05,3,48,Escambia,3,2.994,6.385,5480.3528,5480.35276321811
926,88060000,05,4,88,Indian River,4,27.088,29.588,4023.3629,4023.36294340808
927,79030000,03,5,79,Volusia,5,5.864,12.803,11154.7149,11154.7149208249
928,87053002,07,6,87,Miami-Dade,6,0,0.785,1283.7016,1283.70158715447
929,32030000,04,2,32,Hamilton,2,0,6.398,10252.6557,10252.6556728645
930,55005000,06,3,55,Leon,3,0.75,1.417,1073.3806,1073.38063422984
931,93060101,06,4,93,Palm Beach,4,0,0.145,231.992,231.992012296582
932,03010000,05,1,03,Collier,1,7.244,11.012,6061.4703,6061.4702650135
933,58040100,03,3,58,Santa Rosa,3,0,0.177,282.8223,282.822292916029
934,93170000,07,4,93,Palm Beach,4,0.58,1.727,1845.532,1845.53204058906
935,10250000,07,7,10,Hillsborough,7,5.064,5.374,498.6901,498.69014245992
936,13080000,07,1,13,Manatee,1,0,8.717,14081.8605,14081.8605063218
937,17030000,05,1,17,Sarasota,1,0.013,0.194,291.5156,291.515626273333
938,79190000,05,5,79,Volusia,5,10.64,15.606,8000.5323,8000.53233920646
939,75035001,03,5,75,Orange,5,0,2.314,3721.9216,3721.92155911652
940,86470000,01,4,86,Broward,8,0,25.912,41685.0061,41685.006074119
941,28020000,04,2,28,Bradford,2,0,11.17,17958.03,17958.0300388932
942,75290000,07,5,75,Orange,5,0,1.027,1654.7097,1654.7097465956
943,70140000,05,5,70,Brevard,5,0,3.386,5447.2986,5447.29864199153
944,16050000,03,1,16,Polk,1,1.476,3.367,3045.9787,3045.97870381659
945,78070000,05,2,78,St. Johns,2,16.311,17.294,1580.9822,1580.98215982061
946,16118000,04,1,16,Polk,1,0.609,3.883,5259.3625,5259.3625429765
947,72001200,01,2,72,Duval,2,0,0.554,893.4559,893.455890592354
948,35010000,04,2,35,Madison,2,0,5.507,8865.1997,8865.19970186358
949,93010101,07,4,93,Palm Beach,4,0,2.295,3692.9855,3692.98547219058
950,47030000,04,3,47,Calhoun,3,0.443,11.157,17255.5521,17255.5521100754
951,26070000,06,2,26,Alachua,2,17.139,21.167,6483.5626,6483.56263546
952,72120000,05,2,72,Duval,2,16.239,19.939,5961.332,5961.33196371792
953,10130001,03,7,10,Hillsborough,7,0,2.96,4791.2387,4791.2386646919
954,72280000,01,2,72,Duval,2,0,16.793,27069.518,27069.5180255921
955,87001000,05,6,87,Miami-Dade,6,0.748,10.7,16025.5005,16025.5004842799
956,18060000,06,5,18,Sumter,5,8.635,10.252,2602.1941,2602.19407066249
957,01050000,05,1,01,Charlotte,1,11.641,12.347,1136.4092,1136.40920458478
958,75230000,05,5,75,Orange,5,5.077,6.141,1712.7023,1712.70230227448
959,53050000,03,3,53,Jackson,3,6.971,14.421,12008.3604,12008.3604077588
960,86170001,06,4,86,Broward,4,0,1.336,2178.1801,2178.18009822362
961,27010000,04,2,27,Baker,2,11.925,18.504,10584.7921,10584.7920582991
962,87085000,05,6,87,Miami-Dade,6,3.475,4.245,1239.1356,1239.13563397042
963,90060000,03,6,90,Monroe,6,16.095,17.622,2457.5128,2457.51275443706
964,05020000,06,1,05,Glades,1,27.139,29.46,3733.1514,3733.15135209719
965,79070000,03,5,79,Volusia,5,9.085,9.711,1005.0299,1005.02992569391
966,02470000,01,7,02,Citrus,8,0,12.171,19587.0287,19587.0286635393
967,55050000,03,3,55,Leon,3,5.685,18.318,20330.4143,20330.4143394584
968,87150000,06,6,87,Miami-Dade,6,2.813,3.827,1631.3695,1631.36954663743
969,61080000,03,3,61,Washington,3,16.1,23.796,12407.5413,12407.5412921448
970,29010000,04,2,29,Columbia,2,14.628,20.891,10083.2389,10083.2389274746
971,70014000,03,5,70,Brevard,5,0,0.411,661.4285,661.428525179111
972,86170000,07,4,86,Broward,4,0,2.338,3762.5469,3762.54685660976
973,16250000,06,1,16,Polk,1,16.968,17.986,1638.4637,1638.46369598326
974,57110000,05,3,57,Okaloosa,3,2.855,4.318,2362.1429,2362.14291243474
975,34080000,04,2,34,Levy,2,0.935,7.132,9971.2726,9971.27261938819
976,75003002,01,5,75,Orange,5,0,0.545,876.5363,876.536314213972
977,93004000,05,4,93,Palm Beach,4,5.16,7.615,3952.4414,3952.4413608884
978,48270000,01,3,48,Escambia,3,0,6.341,10255.3985,10255.3985258478
979,52002000,01,3,52,Holmes,3,0,8.37,13486.8011,13486.8011253949
980,88060000,03,4,88,Indian River,4,0,27.088,43593.842,43593.842035907
981,70070000,03,5,70,Brevard,5,4.649,4.762,181.9013,181.901328277957
982,72193000,03,2,72,Duval,2,0,8.064,12979.4944,12979.4943895843
983,79040000,06,5,79,Volusia,5,6.418,8.082,2678.7057,2678.70565079359
984,53030000,06,3,53,Jackson,3,8.818,9.833,1636.3059,1636.30592439048
985,09110000,03,1,09,Highlands,1,0,3.261,5245.8763,5245.8762518827
986,87075000,01,6,87,Miami-Dade,6,0,5.455,8779.4753,8779.47525446891
987,89091000,03,4,89,Martin,4,0,2.475,3987.995,3987.99495242377
988,55020000,05,3,55,Leon,3,0.215,7.567,11838.1576,11838.1575643778
989,93130000,05,4,93,Palm Beach,4,0.501,1.005,811.1523,811.152281001937
990,03010000,04,1,03,Collier,1,34.469,44.14,15557.5188,15557.5187810094
991,61060000,04,3,61,Washington,3,0.2,14.205,22590.1835,22590.1834774006
992,26110000,04,2,26,Alachua,2,1.217,6.851,9077.3695,9077.36952654777
993,10030002,05,7,10,Hillsborough,7,0,1.41,2268.6534,2268.65338341256
994,12070000,02,1,12,Lee,1,7.621,11.132,5652.5459,5652.54594589173
995,76070000,06,2,76,Putnam,2,6.982,7.781,1286.2791,1286.27912123716
996,57030000,05,3,57,Okaloosa,3,17.522,20.515,4833.1888,4833.18876668663
997,79160000,05,5,79,Volusia,5,3.766,6.899,5041.0119,5041.01188142867
998,75003000,03,5,75,Orange,5,2.048,4.995,4742.3285,4742.32849964366
999,77161000,05,5,77,Seminole,5,0,0.897,1440.5702,1440.57019942513
1000,48010000,03,3,48,Escambia,3,6.75,7.531,1262.8688,1262.86881978969
1001,26003000,06,2,26,Alachua,2,0,2.544,4101.8499,4101.84990237627
1002,87260533,07,6,87,Miami-Dade,6,0,1,1569.9787,1569.97868971176
1003,70140000,03,5,70,Brevard,5,3.386,3.4,22.4865,22.4865010568555
1004,87052000,03,6,87,Miami-Dade,6,0,1.015,1637.6959,1637.69586016812
1005,16119000,03,1,16,Polk,1,5.14,7.112,3176.773,3176.7729702129
1006,89040000,07,4,89,Martin,4,0,1.75,2817.3963,2817.39630736829
1007,93060000,07,4,93,Palm Beach,4,4.569,15.255,17197.3333,17197.3333172342
1008,72190000,03,2,72,Duval,2,4.822,13.66,14182.7138,14182.7137669886
1009,91020000,05,1,91,Okeechobee,1,0,2.603,4189.166,4189.16595833111
1010,72140000,03,2,72,Duval,2,9.008,9.71,1129.982,1129.9819544836
1011,10270003,01,7,10,Hillsborough,7,0.105,1.698,2563.0152,2563.01517377779
1012,13130000,03,1,13,Manatee,1,2.255,6.095,6191.8642,6191.86415258034
1013,17020000,07,1,17,Sarasota,1,15.266,21.86,10610.5953,10610.5953467521
1014,75020000,03,5,75,Orange,5,3.41,4.539,1816.9115,1816.9114968059
1015,87027000,05,6,87,Miami-Dade,6,0.857,5.406,7333.2788,7333.27877670139
1016,46600000,05,3,46,Bay,3,0,4.308,6925.0321,6925.03208174663
1017,27030000,06,2,27,Baker,2,10.813,12.001,1910.9584,1910.95839974466
1018,87220000,05,6,87,Miami-Dade,6,0,3.982,6408.4568,6408.45684383443
1019,79120000,05,5,79,Volusia,5,4.821,7.2,3828.4589,3828.4589449434
1020,16030000,05,1,16,Polk,1,31.825,32.906,1741.7594,1741.75942193079
1021,16070000,06,1,16,Polk,1,13.659,14.881,1964.5614,1964.56143480241
1022,76050000,03,2,76,Putnam,2,15.896,20.643,7636.575,7636.57502138261
1023,78040000,05,2,78,St. Johns,2,7.349,13.776,10342.9858,10342.9858458115
1024,16210000,05,1,16,Polk,1,0.126,0.745,996.8273,996.827306654596
1025,31010000,06,2,31,Gilchrist,2,7.492,8.499,1620.5636,1620.56359585487
1026,75470000,01,5,75,Orange,8,0,24.913,40053.9028,40053.9028443183
1027,71110000,04,2,71,Clay,2,7.323,27.294,32136.4526,32136.4525839551
1028,87052000,07,6,87,Miami-Dade,6,2.123,3.112,1595.8146,1595.81456392603
1029,16160000,06,1,16,Polk,1,9.418,10.068,1043.6938,1043.69376401028
1030,89010000,05,4,89,Martin,4,16.194,19.558,5414.1293,5414.12925698228
1031,93040000,05,4,93,Palm Beach,4,0,2.305,3709.454,3709.45401406506
1032,03080000,05,1,03,Collier,1,37.934,39.819,3032.8765,3032.87650713538
1033,33040000,04,2,33,Lafayette,2,0,18.706,30097.1218,30097.1218198742
1034,72140000,99,2,72,Duval,2,11.18,13.587,3874.3167,3874.31665997987
1035,10030000,05,7,10,Hillsborough,7,6.527,19.176,20344.1188,20344.1187941633
1036,12017000,07,1,12,Lee,1,1.06,2.33,2040.2496,2040.24964285952
